bot;negativo;apostas;ok;reprovadas;eventos_apitados;eventos_celula;cobertura_pct;status
SENTINELA-B-NBA2K-HC;False;137;137;0;68;78;87.2;OK
SENTINELA-B-NBA2K-OU;False;152;152;0;68;78;87.2;OK
SENTINELA-E-WCA-HC;False;345;345;0;240;305;78.7;OK
SENTINELA-E-WCA-OU;False;292;291;1;244;305;80.0;REPROVADAS
SENTINELA-E-WCA-OUHT;False;287;287;0;237;305;77.7;OK
SENTINELA-NEG-E-NBA2K-OU;True;0;0;0;0;544;0.0;OK
SENTINELA-S-ADRIATIC-HC;False;46;40;6;31;97;32.0;REPROVADAS
SENTINELA-S-ESTRELAS-HC;False;26;26;0;21;65;32.3;OK
SENTINELA-S-ESTRELAS-OU;False;24;24;0;21;65;32.3;OK
