Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Janela 1,Winrate 1,Janela 2,Winrate 2,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:02:43,Handicap,OKC Thunder (yangrainmaker) (+9.5),9.5,,,,,1.833,None-None,54-71,Red,-1.0,12223614
,B-EBASKBAT4X5,lucker x Lalkoff,lucker,MIA Heat,Lalkoff,DET Pistons,14/07/2026,04:00:00,Handicap,DET Pistons (Lalkoff) (+3.5),3.5,,,,,1.833,None-None,62-77,Green,0.833,12223613
,B-EBASKBAT4X5,Lalkoff x Kadzima,Lalkoff,DET Pistons,Kadzima,TOR Raptors,14/07/2026,05:10:25,Handicap,DET Pistons (Lalkoff) (+1.5),1.5,,,,,1.833,None-None,72-76,Red,-1.0,12223710
,B-EBASKBAT4X5,CHIEFKEEF x lucker,CHIEFKEEF,CHI Bulls,lucker,MIA Heat,14/07/2026,05:14:33,Handicap,MIA Heat (lucker) (+6.5),6.5,,,,,1.833,0-0,80-74,Green,0.833,12223709
,B-EBASKBAT4X5,Kadzima x CHIEFKEEF,Kadzima,TOR Raptors,CHIEFKEEF,CHI Bulls,14/07/2026,05:43:41,Handicap,TOR Raptors (Kadzima) (+13.5),13.5,,,,,1.833,None-None,67-72,Green,0.833,12223982
,B-EBASKBAT4X5,lucker x yangrainmaker,lucker,MIA Heat,yangrainmaker,OKC Thunder,14/07/2026,05:43:41,Handicap,OKC Thunder (yangrainmaker) (+2.5),2.5,,,,,1.833,None-None,69-71,Green,0.833,12223983
,B-EBASKBAT4X5,yangrainmaker x Kadzima,yangrainmaker,OKC Thunder,Kadzima,TOR Raptors,14/07/2026,05:43:41,Handicap,TOR Raptors (Kadzima) (+2.5),2.5,,,,,1.833,None-None,53-62,Green,0.833,12224025
,B-EBASKBAT4X5,CHIEFKEEF x Lalkoff,CHIEFKEEF,CHI Bulls,Lalkoff,DET Pistons,14/07/2026,05:46:08,Handicap,DET Pistons (Lalkoff) (+10.5),10.5,,,,,1.833,None-None,74-70,Green,0.833,12224026
,B-EBASKBAT4X5,Lalkoff x yangrainmaker,Lalkoff,DET Pistons,yangrainmaker,OKC Thunder,14/07/2026,06:20:51,Handicap,DET Pistons (Lalkoff) (+3.5),3.5,,,,,1.833,None-None,70-60,Green,0.833,12224130
,B-EBASKBAT4X5,Kadzima x lucker,Kadzima,TOR Raptors,lucker,MIA Heat,14/07/2026,06:20:51,Handicap,TOR Raptors (Kadzima) (+4.5),4.5,,,,,1.833,None-None,65-68,Green,0.833,12224131
