passe,janela,wr_min,wr_max,janela2,op2,wr2,conf_min,conf_max,linha_min,linha_max,odd_min,odd_max,lado,extra,teto,apostas,jogos,por_jogo,G,R,WR,unidades,ROI,vivo,queda_ponta,roi_3d,u_3d,G_3d,R_3d,ap_3d,roi_7d,u_7d,G_7d,R_7d,ap_7d,borda_chip,fragil,conc_par,conc_alvo,n_par,n_alvo,dano_par,id_suspeita,u_dia,ap_dia,odd_media,break_even,margem_be,linha_media,DD,lucro_dd,pior_jogo,pior_dia,melhor_dia,dias_pos,dias_neg,max_reds,z_jogo,roi_m1,roi_m2,acima_sorte,acima_placebo,roi_treino,roi_cego,ap_cego,desvio_cego,equiv
P4,-,0.0,-,-,,-,0,60,2.5,-,-,-,favorito,atropelo>=36.49,-,1243,87,14.29,825,418,66.4,271.62,21.85,1.0,4.12,20.26,26.95,87,46,133,14.22,69.24,303,184,487,,,50.0,106.0,25,12,-38.99,1,14.3,65.4,1.838,54.4,12.0,11.3,40.6,6.7,-19.0,-20.0,60.34,10,3,26,3.15,28.75,16.14,16.97,5.51,30.21,4.25,400,-25.96,1
P4,-,0.0,-,-,,-,0,60,1.5,-,-,-,favorito,atropelo>=36.49,-,1316,88,14.95,864,452,65.7,271.06,20.6,1.0,4.36,19.22,27.87,94,51,145,13.46,69.72,320,198,518,,,50.6,110.4,25,12,-38.16,1,14.27,69.3,1.84,54.4,11.3,10.7,41.15,6.6,-19.05,-22.0,61.97,10,3,25,3.1,27.59,14.86,15.77,4.26,28.5,4.15,427,-24.34,1
P4,-,0.0,-,-,,-,0,-,2.5,-,-,-,favorito,atropelo>=50,-,1246,83,15.01,822,424,66.0,265.63,21.32,1.0,,,0.0,0,0,0,4.44,2.57,33,25,58,,,55.5,108.6,36,9,-47.99,1,13.98,65.6,1.839,54.4,11.6,12.3,31.38,8.5,-17.17,-8.0,72.44,9,2,15,3.34,24.26,13.93,16.2,4.98,22.39,-4.32,50,-26.71,1
P4,-,0.0,-,-,,-,0,-,1.5,-,-,-,favorito,atropelo>=50,-,1319,84,15.7,860,459,65.2,263.21,19.95,1.0,,,0.0,0,0,0,3.24,2.08,36,28,64,,,56.3,115.2,36,9,-48.75,1,13.85,69.4,1.84,54.3,10.9,11.7,32.05,8.2,-17.33,-10.0,74.36,9,2,15,3.26,23.01,12.25,14.89,3.61,21.05,-4.74,56,-25.79,1
P4,-,0.0,-,-,,-,0,-,3.5,-,-,-,favorito,atropelo>=50,-,1179,83,14.2,780,399,66.2,255.98,21.71,1.0,,,0.0,0,0,0,0.77,0.41,29,24,53,,,56.8,106.5,36,9,-47.96,1,13.47,62.1,1.84,54.4,11.8,12.8,31.18,8.2,-17.0,-7.0,72.37,9,2,16,3.29,24.84,13.87,16.59,5.37,22.95,-9.61,45,-32.57,1
P4,-,0.0,-,-,,-,0,60,3.5,-,-,-,favorito,atropelo>=36.49,-,1170,87,13.45,776,394,66.3,255.1,21.8,1.0,2.3,18.04,21.64,77,43,120,13.27,60.26,280,174,454,,,51.8,107.1,25,12,-41.53,1,13.43,61.6,1.838,54.4,11.9,11.8,38.07,6.7,-17.0,-19.0,58.87,10,3,25,3.03,29.0,15.74,16.92,5.46,30.67,2.79,372,-27.88,1
P4,-,0.0,-,-,,-,0,-,2.5,16.5,-,-,favorito,atropelo>=50,-,952,83,11.47,656,296,68.9,254.31,26.71,1.0,,,0.0,0,0,0,4.44,2.57,33,25,58,,,38.7,109.2,36,9,-34.99,1,13.38,50.1,1.838,54.4,14.5,9.0,22.39,11.4,-17.17,-8.0,70.96,8,3,13,4.01,29.43,19.73,21.59,10.37,28.43,-4.32,50,-32.75,1
P4,Últ. 10,0.0,0.97,-,,-,0,-,2.5,-,-,-,favorito,atropelo>=50,-,1192,83,14.36,786,406,65.9,253.81,21.29,0.0,,,0.0,0,0,0,-0.75,-0.36,26,22,48,21.0,0.0,58.0,111.4,36,9,-48.73,1,13.36,62.7,1.84,54.4,11.6,12.5,31.38,8.1,-15.0,-8.0,72.44,9,2,15,3.35,24.47,13.48,16.17,4.95,22.47,-12.73,40,-35.2,1
P4,-,0.0,-,-,,-,0,-,1.5,16.5,-,-,favorito,atropelo>=50,-,1025,84,12.2,694,331,67.7,251.88,24.57,1.0,,,0.0,0,0,0,3.24,2.08,36,28,64,,,39.0,116.2,36,9,-35.75,1,13.26,53.9,1.84,54.4,13.4,8.5,23.39,10.8,-17.33,-10.0,72.87,8,3,13,3.87,27.47,17.14,19.51,8.23,26.27,-4.74,56,-31.01,1
P4,Últ. 10,0.0,0.97,-,,-,0,-,1.5,-,-,-,favorito,atropelo>=50,-,1259,84,14.99,820,439,65.1,250.05,19.86,0.0,,,0.0,0,0,0,-1.59,-0.86,29,25,54,20.7,0.0,59.1,118.4,36,9,-49.49,1,13.16,66.3,1.841,54.3,10.8,12.0,32.05,7.8,-15.0,-9.0,74.36,9,2,15,3.26,23.16,11.78,14.8,3.52,21.08,-12.15,46,-33.23,1
P4,Últ. 10,0.0,0.97,-,,-,0,-,3.5,-,-,-,favorito,atropelo>=50,-,1131,83,13.63,749,382,66.2,247.16,21.85,0.0,,,0.0,0,0,0,-4.23,-1.86,23,21,44,21.3,0.0,58.6,108.6,36,9,-48.7,1,13.01,59.5,1.84,54.3,11.9,13.1,31.18,7.9,-15.0,-7.0,72.37,9,2,15,3.34,25.23,13.56,16.73,5.51,23.17,-18.32,36,-41.49,1
P4,Todas,0.0,0.85,-,,-,0,-,2.5,-,-,-,favorito,atropelo>=50,-,1184,83,14.27,778,406,65.7,247.11,20.87,0.0,,,0.0,0,0,0,-0.75,-0.36,26,22,48,20.0,0.0,56.8,111.7,36,9,-48.73,1,13.01,62.3,1.84,54.4,11.3,12.6,31.38,7.9,-15.0,-8.0,72.44,9,2,15,3.29,24.47,11.81,15.75,4.53,22.05,-12.73,40,-34.78,1
P4,Últ. 10,0.0,0.85,-,,-,0,-,2.5,-,-,-,favorito,atropelo>=50,-,1183,83,14.25,777,406,65.7,246.24,20.81,0.0,,,0.0,0,0,0,-0.75,-0.36,26,22,48,23.5,0.0,57.0,111.8,36,9,-48.73,1,12.96,62.3,1.84,54.4,11.3,12.6,31.38,7.8,-15.0,-8.0,72.44,9,2,15,3.28,24.4,11.81,15.7,4.47,21.99,-12.73,40,-34.72,1
P4,-,0.0,-,-,,-,0,-,4.5,-,-,-,favorito,atropelo>=50,-,1111,83,13.39,737,374,66.3,244.95,22.05,0.0,,,0.0,0,0,0,-2.62,-1.23,25,22,47,,,58.1,105.5,36,9,-50.07,1,12.89,58.5,1.84,54.3,12.0,13.4,29.18,8.4,-15.0,-6.0,67.63,9,2,15,3.23,25.3,13.83,16.93,5.71,23.41,-15.29,39,-38.7,1
P4,Últ. 10,0.0,0.97,-,,-,0,60,2.5,-,-,-,favorito,atropelo>=36.49,-,1160,87,13.33,765,395,65.9,244.76,21.1,1.0,3.02,17.34,22.02,81,46,127,11.44,51.26,272,176,448,25.0,0.0,55.4,115.3,25,12,-48.91,1,12.88,61.1,1.838,54.4,11.6,11.7,41.6,5.9,-19.0,-20.0,53.23,9,4,27,2.95,29.47,14.32,16.21,4.76,30.76,-0.27,361,-31.03,1
P4,-,0.0,-,-,,-,0,-,3.5,16.5,-,-,favorito,atropelo>=50,-,885,83,10.66,614,271,69.4,244.65,27.64,1.0,,,0.0,0,0,0,0.77,0.41,29,24,53,,,39.3,107.1,36,9,-34.56,1,12.88,46.6,1.839,54.4,15.0,9.5,23.32,10.5,-17.0,-7.0,70.89,8,3,16,3.97,30.58,20.1,22.53,11.3,29.64,-9.61,45,-39.25,1
P4,Todas,0.0,0.8,-,,-,0,-,2.5,-,-,-,favorito,atropelo>=50,-,1180,83,14.22,774,406,65.6,243.74,20.66,0.0,,,0.0,0,0,0,-0.75,-0.36,26,22,48,19.8,0.0,56.2,111.9,36,9,-48.73,1,12.83,62.1,1.84,54.4,11.2,12.6,31.38,7.8,-15.0,-8.0,72.44,9,2,15,3.25,24.19,11.81,15.54,4.32,21.83,-12.73,40,-34.56,1
P4,Todas,0.0,0.85,-,,-,0,-,1.5,-,-,-,favorito,atropelo>=50,-,1251,84,14.89,812,439,64.9,243.34,19.45,0.0,,,0.0,0,0,0,-1.59,-0.86,29,25,54,19.9,0.0,58.0,118.9,36,9,-49.49,1,12.81,65.8,1.841,54.3,10.6,12.0,32.05,7.6,-15.0,-9.0,74.36,9,2,15,3.2,23.16,10.17,14.39,3.11,20.66,-12.15,46,-32.81,1
