Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,NBA H2H GG League 4x5 minutes,MARINE x SPARKZ,MARINE,Orlando Magic,SPARKZ,Dallas Mavericks,11/08/2026,03:02:39,Handicap,Dallas Mavericks (SPARKZ) +2.5,2.5,0.6666666666666666,72,0.4,10,0.6,20,0.6333333333333333,30,0.68,50,1.85,12-9,58-53,Red,-1.0,90530284
,NBA H2H GG League 4x5 minutes,MARINE x SPARKZ,MARINE,Orlando Magic,SPARKZ,Dallas Mavericks,11/08/2026,03:03:02,Handicap,Dallas Mavericks (SPARKZ) +1.5,1.5,0.5694444444444444,72,0.2,10,0.4,20,0.5,30,0.56,50,1.72,12-11,58-53,Red,-1.0,90530284
,NBA H2H GG League 4x5 minutes,MARINE x SPARKZ,MARINE,Orlando Magic,SPARKZ,Dallas Mavericks,11/08/2026,03:05:39,Handicap,Orlando Magic (MARINE) +1.5,1.5,0.4722222222222222,72,0.8,10,0.65,20,0.5333333333333333,30,0.48,50,1.67,16-17,58-53,Green,0.67,90530284
,NBA H2H GG League 4x5 minutes,MARINE x SPARKZ,MARINE,Orlando Magic,SPARKZ,Dallas Mavericks,11/08/2026,03:09:14,Handicap,Dallas Mavericks (SPARKZ) +6.5,6.5,0.8472222222222222,72,0.7,10,0.75,20,0.8333333333333334,30,0.84,50,1.8,31-26,58-53,Green,0.8,90530284
,NBA H2H GG League 4x5 minutes,MARINE x SPARKZ,MARINE,Orlando Magic,SPARKZ,Dallas Mavericks,11/08/2026,03:20:46,Handicap,Dallas Mavericks (SPARKZ) +7.5,7.5,0.8472222222222222,72,0.7,10,0.75,20,0.8333333333333334,30,0.84,50,1.82,54-46,58-53,Green,0.82,90530284
,NBA H2H GG League 4x5 minutes,ENIGMA x KARMA,ENIGMA,Dallas Mavericks,KARMA,Denver Nuggets,11/08/2026,03:09:25,Handicap,Denver Nuggets (KARMA) +5.5,5.5,0.8064516129032258,62,1.0,10,0.95,20,0.8333333333333334,30,0.86,50,1.85,17-11,61-59,Green,0.85,90530283
,NBA H2H GG League 4x5 minutes,ENIGMA x KARMA,ENIGMA,Dallas Mavericks,KARMA,Denver Nuggets,11/08/2026,03:09:35,Handicap,Denver Nuggets (KARMA) +4.5,4.5,0.7419354838709677,62,1.0,10,0.95,20,0.8,30,0.82,50,1.72,17-13,61-59,Green,0.72,90530283
,NBA H2H GG League 4x5 minutes,ENIGMA x KARMA,ENIGMA,Dallas Mavericks,KARMA,Denver Nuggets,11/08/2026,03:11:03,Handicap,Denver Nuggets (KARMA) +2.5,2.5,0.6451612903225806,62,0.9,10,0.85,20,0.7,30,0.7,50,1.85,17-14,61-59,Green,0.85,90530283
,NBA H2H GG League 4x5 minutes,ENIGMA x KARMA,ENIGMA,Dallas Mavericks,KARMA,Denver Nuggets,11/08/2026,03:11:15,Handicap,Denver Nuggets (KARMA) +3.5,3.5,0.6935483870967742,62,0.9,10,0.9,20,0.7333333333333333,30,0.76,50,1.72,17-14,61-59,Green,0.72,90530283
,NBA H2H GG League 4x5 minutes,ENIGMA x KARMA,ENIGMA,Dallas Mavericks,KARMA,Denver Nuggets,11/08/2026,03:14:35,Handicap,Denver Nuggets (KARMA) +1.5,1.5,0.5806451612903226,62,0.8,10,0.75,20,0.6333333333333333,30,0.64,50,1.65,23-22,61-59,Red,-1.0,90530283
