Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Últ. 10,Qtd Últ. 10,Todas,Qtd Todas,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:20:22,Handicap,OKC Thunder (yangrainmaker) (+11.5),11.5,0.8,10,0.7176470588235294,85,0.7,20,0.7,30,0.76,50,1.833,None-None,71-70,Green,0.833,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:40:30,Handicap,OKC Thunder (yangrainmaker) (+12.5),12.5,0.8,10,0.7294117647058823,85,0.7,20,0.7,30,0.76,50,1.833,0-2,71-70,Green,0.833,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:41:11,Handicap,OKC Thunder (yangrainmaker) (+10.5),10.5,0.4,10,0.6352941176470588,85,0.5,20,0.5666666666666667,30,0.64,50,1.833,5-4,71-70,Green,0.833,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:43:00,Handicap,OKC Thunder (yangrainmaker) (+9.5),9.5,0.4,10,0.6352941176470588,85,0.5,20,0.5666666666666667,30,0.64,50,1.8,11-10,71-70,Green,0.8,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:43:06,Handicap,OKC Thunder (yangrainmaker) (+8.5),8.5,0.3,10,0.5882352941176471,85,0.4,20,0.4666666666666667,30,0.58,50,1.869,11-10,71-70,Green,0.869,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:46:27,Handicap,OKC Thunder (yangrainmaker) (+6.5),6.5,0.3,10,0.5058823529411764,85,0.4,20,0.36666666666666664,30,0.48,50,1.833,16-14,71-70,Green,0.833,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:46:35,Handicap,OKC Thunder (yangrainmaker) (+7.5),7.5,0.3,10,0.5529411764705883,85,0.4,20,0.4,30,0.54,50,1.869,16-16,71-70,Green,0.869,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:46:51,Handicap,OKC Thunder (yangrainmaker) (+5.5),5.5,0.2,10,0.4470588235294118,85,0.35,20,0.3,30,0.44,50,1.833,19-16,71-70,Green,0.833,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:47:41,Handicap,OKC Thunder (yangrainmaker) (+4.5),4.5,0.2,10,0.4117647058823529,85,0.35,20,0.3,30,0.42,50,1.833,21-18,71-70,Green,0.833,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:51:07,Handicap,OKC Thunder (yangrainmaker) (+3.5),3.5,0.2,10,0.4,85,0.35,20,0.3,30,0.42,50,1.833,30-27,71-70,Green,0.833,12268217
