Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Últ. 10,Qtd Últ. 10,Todas,Qtd Todas,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:51:51,Handicap,OKC Thunder (yangrainmaker) (+2.5),2.5,0.2,10,0.3411764705882353,85,0.35,20,0.26666666666666666,30,0.36,50,1.833,33-29,71-70,Green,0.833,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:54:04,Handicap,OKC Thunder (yangrainmaker) (+1.5),1.5,0.2,10,0.3058823529411765,85,0.35,20,0.26666666666666666,30,0.32,50,1.869,35-31,71-70,Green,0.869,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:58:09,Handicap,SAC Kings (The_Professor) (+1.5),1.5,0.8,10,0.7294117647058823,85,0.65,20,0.7333333333333333,30,0.7,50,1.74,49-44,71-70,Green,0.74,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,04:59:23,Handicap,SAC Kings (The_Professor) (+2.5),2.5,0.8,10,0.7294117647058823,85,0.65,20,0.7333333333333333,30,0.7,50,1.833,56-50,71-70,Green,0.833,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,05:00:58,Handicap,SAC Kings (The_Professor) (+3.5),3.5,0.8,10,0.7647058823529411,85,0.75,20,0.8,30,0.76,50,1.952,60-53,71-70,Green,0.952,12268217
,B-EBASKBAT4X5,yangrainmaker x The_Professor,yangrainmaker,OKC Thunder,The_Professor,SAC Kings,20/07/2026,05:02:31,Handicap,SAC Kings (The_Professor) (+4.5),4.5,0.9,10,0.8,85,0.8,20,0.8333333333333334,30,0.82,50,1.74,64-57,71-70,Green,0.74,12268217
,B-EBASKBAT4X5,Lalkoff x lucker,Lalkoff,DET Pistons,lucker,MIA Heat,20/07/2026,05:08:38,Handicap,DET Pistons (Lalkoff) (+7.5),7.5,0.7,10,0.7001972386587771,507,0.7,20,0.7,30,0.7,50,1.833,None-None,56-67,Red,-1.0,12268302
,B-EBASKBAT4X5,Lalkoff x lucker,Lalkoff,DET Pistons,lucker,MIA Heat,20/07/2026,05:15:44,Handicap,DET Pistons (Lalkoff) (+6.5),6.5,0.7,10,0.6568047337278107,507,0.7,20,0.7,30,0.68,50,1.8,2-0,56-67,Red,-1.0,12268302
,B-EBASKBAT4X5,Lalkoff x lucker,Lalkoff,DET Pistons,lucker,MIA Heat,20/07/2026,05:16:26,Handicap,DET Pistons (Lalkoff) (+8.5),8.5,0.7,10,0.7357001972386588,507,0.7,20,0.7,30,0.7,50,1.833,2-4,56-67,Red,-1.0,12268302
,B-EBASKBAT4X5,Lalkoff x lucker,Lalkoff,DET Pistons,lucker,MIA Heat,20/07/2026,05:19:00,Handicap,DET Pistons (Lalkoff) (+5.5),5.5,0.4,10,0.5897435897435898,507,0.45,20,0.5333333333333333,30,0.52,50,1.833,10-9,56-67,Red,-1.0,12268302
,B-EBASKBAT4X5,Lalkoff x lucker,Lalkoff,DET Pistons,lucker,MIA Heat,20/07/2026,05:23:08,Handicap,DET Pistons (Lalkoff) (+4.5),4.5,0.4,10,0.5285996055226825,507,0.4,20,0.5,30,0.5,50,1.833,16-15,56-67,Red,-1.0,12268302
,B-EBASKBAT4X5,Lalkoff x lucker,Lalkoff,DET Pistons,lucker,MIA Heat,20/07/2026,05:25:50,Handicap,DET Pistons (Lalkoff) (+9.5),9.5,0.7,10,0.7909270216962525,507,0.7,20,0.7333333333333333,30,0.74,50,1.869,20-27,56-67,Red,-1.0,12268302
,B-EBASKBAT4X5,Lalkoff x lucker,Lalkoff,DET Pistons,lucker,MIA Heat,20/07/2026,05:28:15,Handicap,DET Pistons (Lalkoff) (+10.5),10.5,0.7,10,0.8284023668639053,507,0.7,20,0.7333333333333333,30,0.76,50,1.833,26-34,56-67,Red,-1.0,12268302
,B-EBASKBAT4X5,Lalkoff x lucker,Lalkoff,DET Pistons,lucker,MIA Heat,20/07/2026,05:29:58,Handicap,DET Pistons (Lalkoff) (+12.5),12.5,0.8,10,0.8954635108481263,507,0.8,20,0.8333333333333334,30,0.9,50,1.8,26-36,56-67,Green,0.8,12268302
,B-EBASKBAT4X5,Lalkoff x lucker,Lalkoff,DET Pistons,lucker,MIA Heat,20/07/2026,05:30:10,Handicap,DET Pistons (Lalkoff) (+13.5),13.5,0.8,10,0.9151873767258383,507,0.8,20,0.8333333333333334,30,0.9,50,1.869,26-38,56-67,Green,0.869,12268302
,B-EBASKBAT4X5,Lalkoff x lucker,Lalkoff,DET Pistons,lucker,MIA Heat,20/07/2026,05:32:26,Handicap,DET Pistons (Lalkoff) (+11.5),11.5,0.8,10,0.863905325443787,507,0.8,20,0.8333333333333334,30,0.86,50,1.8,35-44,56-67,Green,0.8,12268302
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:08:38,Handicap,POR T Blazers (faLcOn) (+9.5),9.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.833,None-None,81-65,Red,-1.0,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:16:00,Handicap,POR T Blazers (faLcOn) (+7.5),7.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.833,0-3,81-65,Red,-1.0,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:16:14,Handicap,POR T Blazers (faLcOn) (+8.5),8.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.833,2-3,81-65,Red,-1.0,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:18:11,Handicap,POR T Blazers (faLcOn) (+13.5),13.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.833,9-5,81-65,Red,-1.0,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:18:42,Handicap,POR T Blazers (faLcOn) (+15.5),15.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.833,12-5,81-65,Red,-1.0,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:20:10,Handicap,POR T Blazers (faLcOn) (+14.5),14.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.833,14-8,81-65,Red,-1.0,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:20:12,Handicap,POR T Blazers (faLcOn) (+12.5),12.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.8,14-11,81-65,Red,-1.0,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:21:14,Handicap,POR T Blazers (faLcOn) (+18.5),18.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.8,22-11,81-65,Green,0.8,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:22:24,Handicap,POR T Blazers (faLcOn) (+17.5),17.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.8,24-14,81-65,Green,0.8,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:23:02,Handicap,POR T Blazers (faLcOn) (+16.5),16.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.833,26-16,81-65,Green,0.833,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:24:57,Handicap,POR T Blazers (faLcOn) (+20.5),20.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.8,35-20,81-65,Green,0.8,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:25:04,Handicap,POR T Blazers (faLcOn) (+19.5),19.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.869,35-20,81-65,Green,0.869,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:26:10,Handicap,POR T Blazers (faLcOn) (+21.5),21.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.833,37-20,81-65,Green,0.833,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:26:54,Handicap,POR T Blazers (faLcOn) (+22.5),22.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.8,40-22,81-65,Green,0.8,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:31:00,Handicap,POR T Blazers (faLcOn) (+24.5),24.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.833,51-29,81-65,Green,0.833,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:31:11,Handicap,POR T Blazers (faLcOn) (+23.5),23.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.833,51-31,81-65,Green,0.833,12268301
,B-EBASKBAT4X5,The_Professor x faLcOn,The_Professor,SAC Kings,faLcOn,POR T Blazers,20/07/2026,05:31:47,Handicap,POR T Blazers (faLcOn) (+25.5),25.5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.833,56-33,81-65,Green,0.833,12268301
,B-EBASKBAT4X5,lucker x The_Professor,lucker,MIA Heat,The_Professor,SAC Kings,20/07/2026,05:46:46,Handicap,MIA Heat (lucker) (+4.5),4.5,0.3,10,0.4088669950738916,203,0.3,20,0.4,30,0.44,50,1.833,None-None,84-87,Green,0.833,12268339
,B-EBASKBAT4X5,lucker x The_Professor,lucker,MIA Heat,The_Professor,SAC Kings,20/07/2026,05:50:21,Handicap,MIA Heat (lucker) (+6.5),6.5,0.4,10,0.4975369458128079,203,0.4,20,0.5333333333333333,30,0.52,50,1.833,0-3,84-87,Green,0.833,12268339
,B-EBASKBAT4X5,lucker x The_Professor,lucker,MIA Heat,The_Professor,SAC Kings,20/07/2026,05:51:39,Handicap,MIA Heat (lucker) (+5.5),5.5,0.3,10,0.4433497536945813,203,0.3,20,0.4,30,0.44,50,1.8,2-3,84-87,Green,0.8,12268339
,B-EBASKBAT4X5,lucker x The_Professor,lucker,MIA Heat,The_Professor,SAC Kings,20/07/2026,05:52:08,Handicap,MIA Heat (lucker) (+7.5),7.5,0.4,10,0.5123152709359606,203,0.4,20,0.5333333333333333,30,0.52,50,1.8,2-6,84-87,Green,0.8,12268339
,B-EBASKBAT4X5,lucker x The_Professor,lucker,MIA Heat,The_Professor,SAC Kings,20/07/2026,05:52:25,Handicap,MIA Heat (lucker) (+8.5),8.5,0.5,10,0.5369458128078818,203,0.45,20,0.6,30,0.58,50,1.833,2-8,84-87,Green,0.833,12268339
,B-EBASKBAT4X5,lucker x The_Professor,lucker,MIA Heat,The_Professor,SAC Kings,20/07/2026,05:52:50,Handicap,MIA Heat (lucker) (+9.5),9.5,0.5,10,0.5763546798029556,203,0.5,20,0.6333333333333333,30,0.6,50,1.833,4-11,84-87,Green,0.833,12268339
,B-EBASKBAT4X5,lucker x The_Professor,lucker,MIA Heat,The_Professor,SAC Kings,20/07/2026,05:54:05,Handicap,MIA Heat (lucker) (+10.5),10.5,0.5,10,0.6157635467980296,203,0.55,20,0.6666666666666666,30,0.62,50,1.8,10-18,84-87,Green,0.8,12268339
,B-EBASKBAT4X5,lucker x The_Professor,lucker,MIA Heat,The_Professor,SAC Kings,20/07/2026,06:00:28,Handicap,MIA Heat (lucker) (+3.5),3.5,0.3,10,0.3694581280788177,203,0.3,20,0.3333333333333333,30,0.36,50,1.833,35-36,84-87,Green,0.833,12268339
,B-EBASKBAT4X5,lucker x The_Professor,lucker,MIA Heat,The_Professor,SAC Kings,20/07/2026,06:04:19,Handicap,MIA Heat (lucker) (+2.5),2.5,0.3,10,0.3448275862068966,203,0.25,20,0.3,30,0.32,50,1.833,43-43,84-87,Red,-1.0,12268339
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:24:08,Handicap,DET Pistons (Lalkoff) (+10.5),10.5,0.5,10,0.5533980582524272,103,0.5,20,0.43333333333333335,30,0.56,50,1.833,0-0,76-64,Red,-1.0,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:25:50,Handicap,DET Pistons (Lalkoff) (+11.5),11.5,0.5,10,0.5922330097087378,103,0.5,20,0.43333333333333335,30,0.56,50,1.869,2-0,76-64,Red,-1.0,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:27:25,Handicap,DET Pistons (Lalkoff) (+9.5),9.5,0.4,10,0.5339805825242718,103,0.45,20,0.4,30,0.54,50,1.869,6-6,76-64,Red,-1.0,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:29:17,Handicap,DET Pistons (Lalkoff) (+12.5),12.5,0.6,10,0.6116504854368932,103,0.55,20,0.4666666666666667,30,0.58,50,1.833,13-8,76-64,Green,0.833,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:29:48,Handicap,DET Pistons (Lalkoff) (+13.5),13.5,0.7,10,0.6699029126213593,103,0.6,20,0.5,30,0.6,50,1.869,15-8,76-64,Green,0.869,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:31:22,Handicap,DET Pistons (Lalkoff) (+7.5),7.5,0.4,10,0.5048543689320388,103,0.45,20,0.4,30,0.52,50,1.869,15-15,76-64,Red,-1.0,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:34:36,Handicap,DET Pistons (Lalkoff) (+14.5),14.5,0.7,10,0.7087378640776699,103,0.6,20,0.5333333333333333,30,0.64,50,1.869,27-17,76-64,Green,0.869,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:35:00,Handicap,DET Pistons (Lalkoff) (+15.5),15.5,0.7,10,0.7378640776699029,103,0.6,20,0.5666666666666667,30,0.66,50,1.833,30-19,76-64,Green,0.833,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:36:09,Handicap,DET Pistons (Lalkoff) (+17.5),17.5,0.7,10,0.7572815533980582,103,0.65,20,0.6,30,0.7,50,1.833,33-19,76-64,Green,0.833,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:36:37,Handicap,DET Pistons (Lalkoff) (+16.5),16.5,0.7,10,0.7475728155339806,103,0.6,20,0.5666666666666667,30,0.68,50,1.8,33-21,76-64,Green,0.8,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:37:32,Handicap,DET Pistons (Lalkoff) (+18.5),18.5,0.7,10,0.7669902912621359,103,0.65,20,0.6333333333333333,30,0.72,50,1.8,38-23,76-64,Green,0.8,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:40:18,Handicap,DET Pistons (Lalkoff) (+19.5),19.5,0.8,10,0.7766990291262136,103,0.7,20,0.6666666666666666,30,0.74,50,1.869,42-25,76-64,Green,0.869,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:40:23,Handicap,DET Pistons (Lalkoff) (+20.5),20.5,0.8,10,0.7961165048543689,103,0.75,20,0.7,30,0.78,50,1.8,42-25,76-64,Green,0.8,12268457
,B-EBASKBAT4X5,The_Professor x Lalkoff,The_Professor,SAC Kings,Lalkoff,DET Pistons,20/07/2026,06:40:39,Handicap,DET Pistons (Lalkoff) (+21.5),21.5,0.9,10,0.8155339805825242,103,0.8,20,0.7666666666666667,30,0.82,50,1.833,44-25,76-64,Green,0.833,12268457
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:24:07,Handicap,OKC Thunder (yangrainmaker) (+4.5),4.5,0.5,10,0.5151515151515151,99,0.65,20,0.7333333333333333,30,0.56,50,1.833,0-0,71-69,Green,0.833,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:25:35,Handicap,OKC Thunder (yangrainmaker) (+3.5),3.5,0.5,10,0.45454545454545453,99,0.65,20,0.6666666666666666,30,0.48,50,1.8,2-0,71-69,Green,0.8,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:25:41,Handicap,OKC Thunder (yangrainmaker) (+2.5),2.5,0.5,10,0.42424242424242425,99,0.65,20,0.6666666666666666,30,0.48,50,1.869,2-0,71-69,Green,0.869,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:25:46,Handicap,OKC Thunder (yangrainmaker) (+1.5),1.5,0.5,10,0.3434343434343434,99,0.6,20,0.5666666666666667,30,0.42,50,1.833,4-0,71-69,Green,0.833,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:25:51,Handicap,MIA Heat (lucker) (+1.5),1.5,0.8,10,0.7575757575757576,99,0.65,20,0.6333333333333333,30,0.7,50,1.8,6-0,71-69,Red,-1.0,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:29:58,Handicap,MIA Heat (lucker) (+4.5),4.5,0.9,10,0.8282828282828283,99,0.85,20,0.7666666666666667,30,0.78,50,1.8,19-10,71-69,Green,0.8,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:30:14,Handicap,MIA Heat (lucker) (+2.5),2.5,0.9,10,0.7777777777777778,99,0.75,20,0.7,30,0.74,50,1.8,19-13,71-69,Green,0.8,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:33:07,Handicap,MIA Heat (lucker) (+3.5),3.5,0.9,10,0.797979797979798,99,0.75,20,0.7,30,0.74,50,1.833,24-17,71-69,Green,0.833,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:33:36,Handicap,MIA Heat (lucker) (+5.5),5.5,0.9,10,0.8585858585858586,99,0.9,20,0.8,30,0.84,50,1.8,26-17,71-69,Green,0.8,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:35:37,Handicap,MIA Heat (lucker) (+6.5),6.5,0.9,10,0.8686868686868687,99,0.9,20,0.8,30,0.86,50,1.8,33-23,71-69,Green,0.8,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:36:35,Handicap,MIA Heat (lucker) (+8.5),8.5,1.0,10,0.898989898989899,99,0.95,20,0.9,30,0.92,50,1.833,37-25,71-69,Green,0.833,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:37:02,Handicap,MIA Heat (lucker) (+9.5),9.5,1.0,10,0.9191919191919192,99,0.95,20,0.9,30,0.92,50,1.8,37-25,71-69,Green,0.8,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:37:09,Handicap,MIA Heat (lucker) (+10.5),10.5,1.0,10,0.9292929292929293,99,0.95,20,0.9,30,0.92,50,1.833,39-25,71-69,Green,0.833,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:40:27,Handicap,MIA Heat (lucker) (+11.5),11.5,1.0,10,0.9292929292929293,99,0.95,20,0.9,30,0.92,50,1.8,41-27,71-69,Green,0.8,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:41:09,Handicap,MIA Heat (lucker) (+12.5),12.5,1.0,10,0.9393939393939394,99,1.0,20,0.9333333333333333,30,0.94,50,1.833,44-29,71-69,Green,0.833,12268456
,B-EBASKBAT4X5,yangrainmaker x lucker,yangrainmaker,OKC Thunder,lucker,MIA Heat,20/07/2026,06:43:23,Handicap,MIA Heat (lucker) (+7.5),7.5,1.0,10,0.8888888888888888,99,0.95,20,0.8666666666666667,30,0.9,50,1.8,46-36,71-69,Green,0.8,12268456
,B-EBASKBAT4X5,Lalkoff x yangrainmaker,Lalkoff,DET Pistons,yangrainmaker,OKC Thunder,20/07/2026,06:55:32,Handicap,DET Pistons (Lalkoff) (+2.5),2.5,0.6,10,0.6308943089430894,615,0.5,20,0.5666666666666667,30,0.68,50,1.833,None-None,69-86,Red,-1.0,12268875
,B-EBASKBAT4X5,Lalkoff x yangrainmaker,Lalkoff,DET Pistons,yangrainmaker,OKC Thunder,20/07/2026,07:06:40,Handicap,DET Pistons (Lalkoff) (+8.5),8.5,0.6,10,0.8227642276422764,615,0.65,20,0.6666666666666666,30,0.8,50,1.833,12-19,69-86,Red,-1.0,12268875
,B-EBASKBAT4X5,Lalkoff x yangrainmaker,Lalkoff,DET Pistons,yangrainmaker,OKC Thunder,20/07/2026,07:07:00,Handicap,DET Pistons (Lalkoff) (+9.5),9.5,0.7,10,0.8455284552845529,615,0.75,20,0.7333333333333333,30,0.84,50,1.8,12-21,69-86,Red,-1.0,12268875
,B-EBASKBAT4X5,Lalkoff x yangrainmaker,Lalkoff,DET Pistons,yangrainmaker,OKC Thunder,20/07/2026,07:07:22,Handicap,DET Pistons (Lalkoff) (+10.5),10.5,0.7,10,0.8666666666666667,615,0.75,20,0.7333333333333333,30,0.84,50,1.869,12-23,69-86,Red,-1.0,12268875
,B-EBASKBAT4X5,Lalkoff x yangrainmaker,Lalkoff,DET Pistons,yangrainmaker,OKC Thunder,20/07/2026,07:07:35,Handicap,DET Pistons (Lalkoff) (+11.5),11.5,0.7,10,0.8861788617886179,615,0.75,20,0.7333333333333333,30,0.84,50,1.8,12-23,69-86,Red,-1.0,12268875
,B-EBASKBAT4X5,Lalkoff x yangrainmaker,Lalkoff,DET Pistons,yangrainmaker,OKC Thunder,20/07/2026,07:09:39,Handicap,DET Pistons (Lalkoff) (+12.5),12.5,0.7,10,0.9024390243902439,615,0.75,20,0.7333333333333333,30,0.84,50,1.833,16-29,69-86,Red,-1.0,12268875
