Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Últ. 100,Qtd Últ. 100,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
, CLA-UA Spain Cyber Cup (UA),aloha x Shark,aloha,Celta Vigo,Shark,Levante,26/08/2026,05:15:30,Total de Gols,Under,8.5,0.8211382113821138,123,0.7,10,0.8,20,0.8,30,0.84,50,0.81,100,1.69,0-1,4-1,Green,0.69,17503065
, CLA-UA Spain Cyber Cup (UA),aloha x Shark,aloha,Celta Vigo,Shark,Levante,26/08/2026,05:19:18,Total de Gols,Under,9.5,0.9024390243902439,123,0.8,10,0.85,20,0.9,30,0.92,50,0.9,100,1.57,3-1,4-1,Green,0.57,17503065
, CLA-UA Spain Cyber Cup (UA),aloha x Shark,aloha,Celta Vigo,Shark,Levante,26/08/2026,05:23:53,Total de Gols,Under,5.5,0.36585365853658536,123,0.2,10,0.3,20,0.36666666666666664,30,0.42,50,0.34,100,2.71,4-1,4-1,Green,1.71,17503065
, CLA-UA Spain Cyber Cup (UA),Shark x kozak,Shark,Levante,kozak,Getafe,26/08/2026,05:28:07,Total de Gols,Under,7.5,0.5342465753424658,73,0.5,10,0.55,20,0.5,30,0.54,50,0.5342465753424658,73,1.88,0-0,3-5,Red,-1.0,17503067
, CLA-UA Spain Cyber Cup (UA),Shark x kozak,Shark,Levante,kozak,Getafe,26/08/2026,05:29:16,Total de Gols,Under,8.5,0.726027397260274,73,0.8,10,0.75,20,0.7333333333333333,30,0.76,50,0.726027397260274,73,1.65,0-0,3-5,Green,0.65,17503067
, CLA-UA Spain Cyber Cup (UA),Shark x kozak,Shark,Levante,kozak,Getafe,26/08/2026,05:29:36,Total de Gols,Under,8.5,0.726027397260274,73,0.8,10,0.75,20,0.7333333333333333,30,0.76,50,0.726027397260274,73,2.03,1-0,3-5,Green,1.03,17503067
, CLA-UA Spain Cyber Cup (UA),Shark x kozak,Shark,Levante,kozak,Getafe,26/08/2026,05:30:44,Total de Gols,Under,9.5,0.8767123287671232,73,0.9,10,0.85,20,0.8333333333333334,30,0.88,50,0.8767123287671232,73,1.61,1-1,3-5,Green,0.61,17503067
, CLA-UA Spain Cyber Cup (UA),Shark x kozak,Shark,Levante,kozak,Getafe,26/08/2026,05:36:34,Total de Gols,Under,10.5,0.9452054794520548,73,0.9,10,0.9,20,0.9,30,0.92,50,0.9452054794520548,73,1.54,2-5,3-5,Green,0.54,17503067
, CLA-UA Italy Cyber Cup (UA),Voron x palkan,Voron,Inter,palkan,Fiorentina,26/08/2026,05:27:37,Total de Gols,Under,9.5,0.714975845410628,207,0.5,10,0.65,20,0.6666666666666666,30,0.68,50,0.66,100,1.75,0-0,3-5,Green,0.75,17502949
, CLA-UA Italy Cyber Cup (UA),Voron x palkan,Voron,Inter,palkan,Fiorentina,26/08/2026,05:29:13,Total de Gols,Under,8.5,0.5845410628019324,207,0.4,10,0.55,20,0.5333333333333333,30,0.58,50,0.53,100,2.01,0-0,3-5,Green,1.01,17502949
