Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Média Todas,Qtd Média Todas,Gap Todas,Z Todas,Desvio Todas,Todas (ind pior),Todas (ind A),Todas (ind B),Últ. 5,Qtd Últ. 5,Média Últ. 5,Qtd Média Últ. 5,Gap Últ. 5,Z Últ. 5,Desvio Últ. 5,Últ. 5 (ind pior),Últ. 5 (ind A),Últ. 5 (ind B),Últ. 10,Qtd Últ. 10,Média Últ. 10,Qtd Média Últ. 10,Gap Últ. 10,Z Últ. 10,Desvio Últ. 10,Últ. 10 (ind pior),Últ. 10 (ind A),Últ. 10 (ind B),Últ. 15,Qtd Últ. 15,Média Últ. 15,Qtd Média Últ. 15,Gap Últ. 15,Z Últ. 15,Desvio Últ. 15,Últ. 15 (ind pior),Últ. 15 (ind A),Últ. 15 (ind B),Últ. 20,Qtd Últ. 20,Média Últ. 20,Qtd Média Últ. 20,Gap Últ. 20,Z Últ. 20,Desvio Últ. 20,Últ. 20 (ind pior),Últ. 20 (ind A),Últ. 20 (ind B),Últ. 30,Qtd Últ. 30,Média Últ. 30,Qtd Média Últ. 30,Gap Últ. 30,Z Últ. 30,Desvio Últ. 30,Últ. 30 (ind pior),Últ. 30 (ind A),Últ. 30 (ind B),Últ. 50,Qtd Últ. 50,Média Últ. 50,Qtd Média Últ. 50,Gap Últ. 50,Z Últ. 50,Desvio Últ. 50,Últ. 50 (ind pior),Últ. 50 (ind A),Últ. 50 (ind B),Tendência,Gap Linha,Qtd H2H,Qtd Ind A,Qtd Ind B,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id,Momento,Atropelo A,Atropelo B,Atropelo,Qtd Atr A,Qtd Atr B,Folga
, CLA-UA Champions Cyber League (UA),drksd3 x Galikooo,drksd3,Feyenoord,Galikooo,Benfica,26/08/2026,03:00:03,Total de Gols,Under,9.5,0.712,250,8.184,250,-1.3160000000000007,0.5550152378620289,2.3711060710141165,0.7371120107962214,0.7371120107962214,0.8085284280936454,0.6,5,8.6,5,-0.9000000000000004,0.38587181657064507,2.33238075793812,0.8,0.8,1.0,0.7,10,8.4,10,-1.0999999999999996,0.5613413993878115,1.9595917942265424,0.7,0.7,0.8,0.6666666666666666,15,8.266666666666667,15,-1.2333333333333325,0.6021237132863099,2.0483055327649624,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.7,20,8.1,20,-1.4000000000000004,0.5921369082129392,2.364318083507378,0.65,0.65,0.8,0.7,30,8.0,30,-1.5,0.5724245827291324,2.6204325342711394,0.6,0.6,0.8,0.7,50,8.12,50,-1.3800000000000008,0.5206398145001244,2.6505848411246906,0.66,0.66,0.76,0.5,1.4000000000000004,250,3705,3588,1.97,2-4,2-5,Green,0.97,17494157,,0.0,0.0,0.0,3705,3588,
, CLA-UA Champions Cyber League (UA),drksd3 x Galikooo,drksd3,Feyenoord,Galikooo,Benfica,26/08/2026,03:00:50,Total de Gols,Under,8.5,0.552,250,8.184,250,-0.3160000000000007,0.1332711361431622,2.3711060710141165,0.5956815114709851,0.5956815114709851,0.6850613154960981,0.4,5,8.6,5,0.09999999999999964,-0.04287464628562706,2.33238075793812,0.6,0.6,0.6,0.4,10,8.4,10,-0.09999999999999964,0.0510310363079827,1.9595917942265424,0.4,0.6,0.4,0.4666666666666667,15,8.266666666666667,15,-0.2333333333333325,0.11391529710822047,2.0483055327649624,0.6,0.6,0.6,0.5,20,8.1,20,-0.40000000000000036,0.1691819737751256,2.364318083507378,0.55,0.55,0.6,0.5333333333333333,30,8.0,30,-0.5,0.19080819424304415,2.6204325342711394,0.4666666666666667,0.4666666666666667,0.6333333333333333,0.5,50,8.12,50,-0.3800000000000008,0.14336458660148377,2.6505848411246906,0.42,0.42,0.56,0.5,0.40000000000000036,250,3705,3588,1.97,2-4,2-5,Green,0.97,17494157,,0.0,0.0,0.0,3705,3588,
, CLA-UA Champions Cyber League (UA),drksd3 x Galikooo,drksd3,Feyenoord,Galikooo,Benfica,26/08/2026,03:03:00,Total de Gols,Under,7.5,0.412,250,8.184,250,0.6839999999999993,-0.28847296557570457,2.3711060710141165,0.4388663967611336,0.4388663967611336,0.5348383500557413,0.4,5,8.6,5,1.0999999999999996,-0.4716211091418992,2.33238075793812,0.4,0.6,0.4,0.4,10,8.4,10,0.9000000000000004,-0.4592793267718461,1.9595917942265424,0.2,0.5,0.2,0.4666666666666667,15,8.266666666666667,15,0.7666666666666675,-0.374293119069869,2.0483055327649624,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.5,20,8.1,20,0.5999999999999996,-0.253772960662688,2.364318083507378,0.4,0.5,0.4,0.5,30,8.0,30,0.5,-0.19080819424304415,2.6204325342711394,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.44,50,8.12,50,0.6199999999999992,-0.23391064129715694,2.6505848411246906,0.32,0.32,0.42,0.5,0.5999999999999996,250,3705,3588,2.56,2-5,2-5,Green,1.56,17494157,,0.0,0.0,0.0,3705,3588,
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:00:16,Total de Gols,Under,6.5,0.4444444444444444,18,6.166666666666667,18,-0.33333333333333304,0.21693045781865597,1.536590742882148,0.29948364888123924,0.29948364888123924,0.5982185844968705,0.2,5,7.0,5,0.5,-0.7905694150420948,0.6324555320336759,0.0,0.0,1.0,0.4,10,6.3,10,-0.20000000000000018,0.11930999725437884,1.676305461424021,0.1,0.1,0.7,0.4666666666666667,15,6.266666666666667,15,-0.2333333333333334,0.1624834209049204,1.4360439485692011,0.06666666666666667,0.06666666666666667,0.7333333333333333,0.4444444444444444,18,6.166666666666667,18,-0.33333333333333304,0.21693045781865597,1.536590742882148,0.1,0.1,0.7,0.4444444444444444,18,6.166666666666667,18,-0.33333333333333304,0.21693045781865597,1.536590742882148,0.16666666666666666,0.16666666666666666,0.6333333333333333,0.4444444444444444,18,6.166666666666667,18,-0.33333333333333304,0.21693045781865597,1.536590742882148,0.24,0.24,0.48,0.833333333333333,0.33333333333333304,18,581,4154,1.8,0-0,4-1,Green,0.8,17503064,,0.0,0.0,0.0,581,4154,
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:02:32,Total de Gols,Under,5.5,0.2777777777777778,18,6.166666666666667,18,0.666666666666667,-0.43386091563731255,1.536590742882148,0.14802065404475043,0.14802065404475043,0.42970630717380837,0.0,5,7.0,5,1.5,-2.3717082451262845,0.6324555320336759,0.0,0.0,0.6,0.3,10,6.3,10,0.7999999999999998,-0.4772399890175148,1.676305461424021,0.1,0.1,0.5,0.26666666666666666,15,6.266666666666667,15,0.7666666666666666,-0.533874097259024,1.4360439485692011,0.06666666666666667,0.06666666666666667,0.5333333333333333,0.2777777777777778,18,6.166666666666667,18,0.666666666666667,-0.43386091563731255,1.536590742882148,0.1,0.1,0.55,0.2777777777777778,18,6.166666666666667,18,0.666666666666667,-0.43386091563731255,1.536590742882148,0.13333333333333333,0.13333333333333333,0.5,0.2777777777777778,18,6.166666666666667,18,0.666666666666667,-0.43386091563731255,1.536590742882148,0.18,0.18,0.38,0.833333333333333,0.666666666666667,18,581,4154,2.11,0-0,4-1,Green,1.11,17503064,,0.0,0.0,0.0,581,4154,
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:04:22,Total de Gols,Under,4.5,0.16666666666666666,18,6.166666666666667,18,1.666666666666667,-1.084652289093281,1.536590742882148,0.08433734939759036,0.08433734939759036,0.25782378430428504,0.0,5,7.0,5,2.5,-3.952847075210474,0.6324555320336759,0.0,0.0,0.4,0.2,10,6.3,10,1.7999999999999998,-1.0737899752894084,1.676305461424021,0.1,0.1,0.3,0.13333333333333333,15,6.266666666666667,15,1.7666666666666666,-1.2302316154229684,1.4360439485692011,0.06666666666666667,0.06666666666666667,0.4,0.16666666666666666,18,6.166666666666667,18,1.666666666666667,-1.084652289093281,1.536590742882148,0.05,0.05,0.3,0.16666666666666666,18,6.166666666666667,18,1.666666666666667,-1.084652289093281,1.536590742882148,0.06666666666666667,0.06666666666666667,0.3,0.16666666666666666,18,6.166666666666667,18,1.666666666666667,-1.084652289093281,1.536590742882148,0.1,0.1,0.22,0.833333333333333,1.666666666666667,18,581,4154,2.11,0-0,4-1,Red,-1.0,17503064,,0.0,0.0,0.0,581,4154,
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:07:27,Total de Gols,Under,3.5,0.1111111111111111,18,6.166666666666667,18,2.666666666666667,-1.7354436625492495,1.536590742882148,0.03442340791738382,0.03442340791738382,0.1326432354357246,0.0,5,7.0,5,3.5,-5.533985905294664,0.6324555320336759,0.0,0.0,0.0,0.1,10,6.3,10,2.8,-1.6703399615613022,1.676305461424021,0.0,0.0,0.0,0.06666666666666667,15,6.266666666666667,15,2.7666666666666666,-1.926589133586913,1.4360439485692011,0.0,0.0,0.13333333333333333,0.1111111111111111,18,6.166666666666667,18,2.666666666666667,-1.7354436625492495,1.536590742882148,0.0,0.0,0.1,0.1111111111111111,18,6.166666666666667,18,2.666666666666667,-1.7354436625492495,1.536590742882148,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.1111111111111111,18,6.166666666666667,18,2.666666666666667,-1.7354436625492495,1.536590742882148,0.04,0.04,0.1,0.833333333333333,2.666666666666667,18,581,4154,2.17,0-1,4-1,Red,-1.0,17503064,,0.0,0.0,0.0,581,4154,
, CLA-UA Spain Cyber Cup (UA),kozak x sensiz,kozak,Getafe,sensiz,Espanyol,26/08/2026,05:00:06,Total de Gols,Under,7.5,0.45454545454545453,44,7.818181818181818,44,0.31818181818181834,-0.15054633776676918,2.11351417046594,0.3954910202521972,0.3954910202521972,0.5930232558139535,0.6,5,7.8,5,0.2999999999999998,-0.20412414523193137,1.469693845669907,0.4,0.4,0.6,0.6,10,7.3,10,-0.20000000000000018,0.10830607221477656,1.8466185312619388,0.3,0.3,0.6,0.5333333333333333,15,7.466666666666667,15,-0.033333333333333215,0.01952172023607569,1.7074997966487597,0.2,0.2,0.6,0.55,20,7.35,20,-0.15000000000000036,0.08620832027071192,1.7399712641305316,0.3,0.3,0.55,0.4666666666666667,30,7.766666666666667,30,0.2666666666666666,-0.13368658408602893,1.9947152400502908,0.26666666666666666,0.26666666666666666,0.6333333333333333,0.45454545454545453,44,7.818181818181818,44,0.31818181818181834,-0.15054633776676918,2.11351417046594,0.28,0.28,0.6,0.4500000000000002,0.15000000000000036,44,2617,258,1.98,0-0,3-2,Green,0.98,17502959,,0.0,0.0,0.0,2617,258,
, CLA-UA Spain Cyber Cup (UA),kozak x sensiz,kozak,Getafe,sensiz,Espanyol,26/08/2026,05:02:26,Total de Gols,Under,6.5,0.29545454545454547,44,7.818181818181818,44,1.3181818181818183,-0.6236919707480435,2.11351417046594,0.24149789835689722,0.24149789835689722,0.4069767441860465,0.2,5,7.8,5,1.2999999999999998,-0.884537962671703,1.469693845669907,0.0,0.4,0.0,0.4,10,7.3,10,0.7999999999999998,-0.4332242888591058,1.8466185312619388,0.3,0.3,0.3,0.3333333333333333,15,7.466666666666667,15,0.9666666666666668,-0.566129886846197,1.7074997966487597,0.2,0.2,0.26666666666666666,0.4,20,7.35,20,0.8499999999999996,-0.48851381486736617,1.7399712641305316,0.25,0.25,0.3,0.3333333333333333,30,7.766666666666667,30,1.2666666666666666,-0.6350112744086376,1.9947152400502908,0.2,0.2,0.4,0.29545454545454547,44,7.818181818181818,44,1.3181818181818183,-0.6236919707480435,2.11351417046594,0.18,0.18,0.38,0.4500000000000002,0.8499999999999996,44,2617,258,2.03,0-0,3-2,Green,1.03,17502959,,0.0,0.0,0.0,2617,258,
, CLA-UA Spain Cyber Cup (UA),kozak x sensiz,kozak,Getafe,sensiz,Espanyol,26/08/2026,05:03:39,Total de Gols,Under,8.5,0.6136363636363636,44,7.818181818181818,44,-0.6818181818181817,0.32259929521450514,2.11351417046594,0.5548337791364157,0.5548337791364157,0.748062015503876,0.6,5,7.8,5,-0.7000000000000002,0.4762896722078403,1.469693845669907,0.4,0.4,0.8,0.7,10,7.3,10,-1.2000000000000002,0.6498364332886589,1.8466185312619388,0.4,0.4,0.7,0.7333333333333333,15,7.466666666666667,15,-1.0333333333333332,0.6051733273183484,1.7074997966487597,0.3333333333333333,0.3333333333333333,0.7333333333333333,0.75,20,7.35,20,-1.1500000000000004,0.66093045540879,1.7399712641305316,0.4,0.4,0.65,0.6333333333333333,30,7.766666666666667,30,-0.7333333333333334,0.3676381062365797,1.9947152400502908,0.36666666666666664,0.36666666666666664,0.7333333333333333,0.6136363636363636,44,7.818181818181818,44,-0.6818181818181817,0.32259929521450514,2.11351417046594,0.4,0.4,0.7,0.4500000000000002,1.1500000000000004,44,2617,258,1.62,1-0,3-2,Green,0.62,17502959,,0.0,0.0,0.0,2617,258,
