Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Janela 1,Winrate 1,Janela 2,Winrate 2,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
, CLA-UA Italy Cyber Cup (UA),Voron x palkan,Voron,Inter,palkan,Fiorentina,26/08/2026,05:31:57,Total de Gols,Under,7.5,,,,,2.03,0-1,3-5,Red,-1.0,17502949
, CLA-UA Italy Cyber Cup (UA),Voron x palkan,Voron,Inter,palkan,Fiorentina,26/08/2026,05:34:42,Total de Gols,Under,6.5,,,,,2.16,1-2,3-5,Red,-1.0,17502949
, CLA-UA Italy Cyber Cup (UA),Voron x palkan,Voron,Inter,palkan,Fiorentina,26/08/2026,05:35:56,Total de Gols,Under,5.5,,,,,2.21,1-2,3-5,Red,-1.0,17502949
, CLA-UA Italy Cyber Cup (UA),Terry14 x fillanchik,Terry14,Juventus,fillanchik,Lecce,26/08/2026,05:41:01,Total de Gols,Under,7.5,,,,,1.98,0-0,3-4,Green,0.98,17502951
, CLA-UA Italy Cyber Cup (UA),Terry14 x fillanchik,Terry14,Juventus,fillanchik,Lecce,26/08/2026,05:42:39,Total de Gols,Under,8.5,,,,,1.76,0-0,3-4,Green,0.76,17502951
, CLA-UA Italy Cyber Cup (UA),Terry14 x fillanchik,Terry14,Juventus,fillanchik,Lecce,26/08/2026,05:44:31,Total de Gols,Under,9.5,,,,,1.93,0-1,3-4,Green,0.93,17502951
, CLA-UA Italy Cyber Cup (UA),Terry14 x fillanchik,Terry14,Juventus,fillanchik,Lecce,26/08/2026,05:48:43,Total de Gols,Under,6.5,,,,,2.12,1-1,3-4,Red,-1.0,17502951
, CLA-UA Italy Cyber Cup (UA),Donatello x fillanchik,Donatello,Lazio,fillanchik,Lecce,26/08/2026,05:55:46,Total de Gols,Under,7.5,,,,,1.74,0-0,5-3,Red,-1.0,17502952
, CLA-UA Italy Cyber Cup (UA),Donatello x fillanchik,Donatello,Lazio,fillanchik,Lecce,26/08/2026,05:57:44,Total de Gols,Under,6.5,,,,,2.03,0-0,5-3,Red,-1.0,17502952
, CLA-UA Italy Cyber Cup (UA),Donatello x fillanchik,Donatello,Lazio,fillanchik,Lecce,26/08/2026,05:59:18,Total de Gols,Under,5.5,,,,,2.12,0-0,5-3,Red,-1.0,17502952
, CLA-UA Italy Cyber Cup (UA),Donatello x fillanchik,Donatello,Lazio,fillanchik,Lecce,26/08/2026,06:01:19,Total de Gols,Under,4.5,,,,,2.12,0-0,5-3,Red,-1.0,17502952
, CLA-UA Italy Cyber Cup (UA),Donatello x fillanchik,Donatello,Lazio,fillanchik,Lecce,26/08/2026,06:03:51,Total de Gols,Under,8.5,,,,,1.84,3-1,5-3,Green,0.84,17502952
, CLA-UA Italy Cyber Cup (UA),Terry14 x Voron,Terry14,Juventus,Voron,Inter,26/08/2026,05:56:42,Total de Gols,Under,7.5,,,,,1.98,0-0,7-2,Red,-1.0,17502954
, CLA-UA Italy Cyber Cup (UA),Terry14 x Voron,Terry14,Juventus,Voron,Inter,26/08/2026,05:58:38,Total de Gols,Under,8.5,,,,,1.65,0-0,7-2,Red,-1.0,17502954
, CLA-UA Italy Cyber Cup (UA),Terry14 x Voron,Terry14,Juventus,Voron,Inter,26/08/2026,06:00:18,Total de Gols,Under,9.5,,,,,1.63,2-0,7-2,Green,0.63,17502954
, CLA-UA Italy Cyber Cup (UA),Terry14 x Voron,Terry14,Juventus,Voron,Inter,26/08/2026,06:01:19,Total de Gols,Under,10.5,,,,,1.83,4-0,7-2,Green,0.83,17502954
,CLA-UA World Cyber Cup (UA),vrud1 x shatik666,vrud1,Cabo Verde,shatik666,Romania,26/08/2026,06:09:51,Total de Gols,Under,9.5,,,,,1.97,0-0,8-6,Red,-1.0,17503205
,CLA-UA World Cyber Cup (UA),vrud1 x shatik666,vrud1,Cabo Verde,shatik666,Romania,26/08/2026,06:10:57,Total de Gols,Under,10.5,,,,,1.7,0-0,8-6,Red,-1.0,17503205
,CLA-UA World Cyber Cup (UA),vrud1 x shatik666,vrud1,Cabo Verde,shatik666,Romania,26/08/2026,06:11:57,Total de Gols,Under,11.5,,,,,1.76,2-0,8-6,Red,-1.0,17503205
,CLA-UA World Cyber Cup (UA),vrud1 x shatik666,vrud1,Cabo Verde,shatik666,Romania,26/08/2026,06:12:15,Total de Gols,Under,12.5,,,,,1.66,3-0,8-6,Red,-1.0,17503205
, CLA-UA Italy Cyber Cup (UA),Voron x Donatello,Voron,Inter,Donatello,Lazio,26/08/2026,06:23:45,Total de Gols,Under,7.5,,,,,1.98,0-0,2-6,Red,-1.0,17502955
, CLA-UA Italy Cyber Cup (UA),Voron x Donatello,Voron,Inter,Donatello,Lazio,26/08/2026,06:24:43,Total de Gols,Under,8.5,,,,,1.89,0-0,2-6,Green,0.89,17502955
, CLA-UA Italy Cyber Cup (UA),Voron x Donatello,Voron,Inter,Donatello,Lazio,26/08/2026,06:25:11,Total de Gols,Under,9.5,,,,,1.76,0-1,2-6,Green,0.76,17502955
, CLA-UA Italy Cyber Cup (UA),Voron x Donatello,Voron,Inter,Donatello,Lazio,26/08/2026,06:27:39,Total de Gols,Under,10.5,,,,,1.62,0-3,2-6,Green,0.62,17502955
, CLA-UA Italy Cyber Cup (UA),Voron x Donatello,Voron,Inter,Donatello,Lazio,26/08/2026,06:29:45,Total de Gols,Under,11.5,,,,,1.77,1-5,2-6,Green,0.77,17502955
