Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Janela 1,Winrate 1,Janela 2,Winrate 2,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,CLA-UA World Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Hungary,Forzyar,Denmark,28/08/2026,00:22:39,Total de Gols,Under,8.5,,,,,1.62,0-0,2-8,Red,-1.0,17513103
,CLA-UA World Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Hungary,Forzyar,Denmark,28/08/2026,00:23:43,Total de Gols,Under,9.5,,,,,1.85,0-2,2-8,Red,-1.0,17513103
,CLA-UA World Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Hungary,Forzyar,Denmark,28/08/2026,00:24:05,Total de Gols,Under,10.5,,,,,1.76,0-3,2-8,Green,0.76,17513103
,CLA-UA World Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Hungary,Forzyar,Denmark,28/08/2026,00:24:23,Total de Gols,Under,11.5,,,,,1.69,0-4,2-8,Green,0.69,17513103
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),FanFan x drksd3,FanFan,Atletico Madrid,drksd3,Barcelona,28/08/2026,00:34:58,Total de Gols,Under,7.5,,,,,1.74,0-0,5-5,Red,-1.0,17513091
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),FanFan x drksd3,FanFan,Atletico Madrid,drksd3,Barcelona,28/08/2026,00:36:51,Total de Gols,Under,6.5,,,,,2.12,0-0,5-5,Red,-1.0,17513091
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),FanFan x drksd3,FanFan,Atletico Madrid,drksd3,Barcelona,28/08/2026,00:39:03,Total de Gols,Under,8.5,,,,,1.86,1-1,5-5,Red,-1.0,17513091
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),FanFan x drksd3,FanFan,Atletico Madrid,drksd3,Barcelona,28/08/2026,00:43:30,Total de Gols,Under,9.5,,,,,1.77,3-3,5-5,Red,-1.0,17513091
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),FanFan x drksd3,FanFan,Atletico Madrid,drksd3,Barcelona,28/08/2026,00:43:58,Total de Gols,Under,10.5,,,,,1.61,3-4,5-5,Green,0.61,17513091
,CLA-UA World Cyber Cup (UA) (2x5 mins),Zero x rain,Zero,Czechia,rain,Mexico,28/08/2026,00:36:06,Total de Gols,Under,5.5,,,,,2.07,0-0,4-3,Red,-1.0,17520729
,CLA-UA World Cyber Cup (UA) (2x5 mins),Zero x rain,Zero,Czechia,rain,Mexico,28/08/2026,00:36:38,Total de Gols,Under,6.5,,,,,1.92,0-0,4-3,Red,-1.0,17520729
,CLA-UA World Cyber Cup (UA) (2x5 mins),Zero x rain,Zero,Czechia,rain,Mexico,28/08/2026,00:39:27,Total de Gols,Under,7.5,,,,,1.62,1-1,4-3,Green,0.62,17520729
, CLA-UA Champions Cyber League (UA) (2x5 mins),drksd3 x luxiqq,drksd3,Liverpool,luxiqq,Benfica,28/08/2026,01:12:47,Total de Gols,Under,9.5,,,,,1.65,0-0,5-6,Red,-1.0,17512992
, CLA-UA Champions Cyber League (UA) (2x5 mins),drksd3 x luxiqq,drksd3,Liverpool,luxiqq,Benfica,28/08/2026,01:14:39,Total de Gols,Under,8.5,,,,,2.07,0-0,5-6,Red,-1.0,17512992
, CLA-UA Champions Cyber League (UA) (2x5 mins),drksd3 x luxiqq,drksd3,Liverpool,luxiqq,Benfica,28/08/2026,01:17:17,Total de Gols,Under,10.5,,,,,1.75,1-1,5-6,Red,-1.0,17512992
, CLA-UA Champions Cyber League (UA) (2x5 mins),drksd3 x luxiqq,drksd3,Liverpool,luxiqq,Benfica,28/08/2026,01:21:08,Total de Gols,Under,11.5,,,,,1.71,3-3,5-6,Green,0.71,17512992
, CLA-UA Champions Cyber League (UA) (2x5 mins),drksd3 x luxiqq,drksd3,Liverpool,luxiqq,Benfica,28/08/2026,01:22:29,Total de Gols,Under,12.5,,,,,1.57,3-5,5-6,Green,0.57,17512992
, CLA-UA France Cyber Cup (UA) (2x5 mins),murchik x simaha,murchik,PSG,simaha,Nice,28/08/2026,01:14:17,Total de Gols,Under,7.5,,,,,1.82,0-0,5-3,Red,-1.0,17513013
, CLA-UA France Cyber Cup (UA) (2x5 mins),murchik x simaha,murchik,PSG,simaha,Nice,28/08/2026,01:15:08,Total de Gols,Under,8.5,,,,,1.65,0-0,5-3,Green,0.65,17513013
, CLA-UA France Cyber Cup (UA) (2x5 mins),murchik x simaha,murchik,PSG,simaha,Nice,28/08/2026,01:16:43,Total de Gols,Under,9.5,,,,,1.71,1-1,5-3,Green,0.71,17513013
, CLA-UA France Cyber Cup (UA) (2x5 mins),murchik x simaha,murchik,PSG,simaha,Nice,28/08/2026,01:21:44,Total de Gols,Under,6.5,,,,,2.27,2-2,5-3,Red,-1.0,17513013
, CLA-UA Champions Cyber League (UA) (2x5 mins),Galikooo x FanFan,Galikooo,Feyenoord,FanFan,Chelsea,28/08/2026,01:42:18,Total de Gols,Under,8.5,,,,,1.79,0-0,7-4,Red,-1.0,17513116
, CLA-UA Champions Cyber League (UA) (2x5 mins),Galikooo x FanFan,Galikooo,Feyenoord,FanFan,Chelsea,28/08/2026,01:42:52,Total de Gols,Under,7.5,,,,,2.06,0-0,7-4,Red,-1.0,17513116
, CLA-UA Champions Cyber League (UA) (2x5 mins),Galikooo x FanFan,Galikooo,Feyenoord,FanFan,Chelsea,28/08/2026,01:44:04,Total de Gols,Under,9.5,,,,,1.62,1-0,7-4,Red,-1.0,17513116
, CLA-UA Champions Cyber League (UA) (2x5 mins),Galikooo x FanFan,Galikooo,Feyenoord,FanFan,Chelsea,28/08/2026,01:45:01,Total de Gols,Under,10.5,,,,,1.76,3-0,7-4,Red,-1.0,17513116
, CLA-UA Champions Cyber League (UA) (2x5 mins),Galikooo x FanFan,Galikooo,Feyenoord,FanFan,Chelsea,28/08/2026,01:48:14,Total de Gols,Under,6.5,,,,,2.2,4-0,7-4,Red,-1.0,17513116
, CLA-UA Champions Cyber League (UA) (2x5 mins),drksd3 x FanFan,drksd3,Liverpool,FanFan,Chelsea,28/08/2026,01:55:03,Total de Gols,Under,7.5,,,,,1.98,0-0,2-3,Green,0.98,17513117
, CLA-UA Champions Cyber League (UA) (2x5 mins),drksd3 x FanFan,drksd3,Liverpool,FanFan,Chelsea,28/08/2026,01:56:22,Total de Gols,Under,8.5,,,,,1.93,0-0,2-3,Green,0.93,17513117
, CLA-UA Champions Cyber League (UA) (2x5 mins),drksd3 x FanFan,drksd3,Liverpool,FanFan,Chelsea,28/08/2026,02:00:20,Total de Gols,Under,6.5,,,,,2.11,1-1,2-3,Green,1.11,17513117
, CLA-UA Champions Cyber League (UA) (2x5 mins),drksd3 x FanFan,drksd3,Liverpool,FanFan,Chelsea,28/08/2026,02:01:53,Total de Gols,Under,5.5,,,,,2.17,1-1,2-3,Green,1.17,17513117
, CLA-UA Champions Cyber League (UA) (2x5 mins),drksd3 x FanFan,drksd3,Liverpool,FanFan,Chelsea,28/08/2026,02:06:21,Total de Gols,Under,4.5,,,,,2.62,2-2,2-3,Red,-1.0,17513117
, CLA-UA France Cyber Cup (UA) (2x5 mins),rain x Zero,rain,Lyon,Zero,Strasbourg,28/08/2026,01:56:09,Total de Gols,Under,6.5,,,,,1.59,0-0,1-5,Green,0.59,17520731
, CLA-UA France Cyber Cup (UA) (2x5 mins),rain x Zero,rain,Lyon,Zero,Strasbourg,28/08/2026,01:56:21,Total de Gols,Under,5.5,,,,,2.07,0-0,1-5,Red,-1.0,17520731
, CLA-UA France Cyber Cup (UA) (2x5 mins),rain x Zero,rain,Lyon,Zero,Strasbourg,28/08/2026,02:03:41,Total de Gols,Under,4.5,,,,,2.35,0-3,1-5,Red,-1.0,17520731
, CLA-UA Champions Cyber League (UA) (2x5 mins),luxiqq x FanFan,luxiqq,Benfica,FanFan,Chelsea,28/08/2026,02:08:52,Total de Gols,Under,7.5,,,,,1.98,0-0,2-6,Red,-1.0,17513118
, CLA-UA Champions Cyber League (UA) (2x5 mins),Galikooo x fillanchik,Galikooo,Feyenoord,fillanchik,Tottenham,28/08/2026,02:10:17,Total de Gols,Under,7.5,,,,,1.94,0-0,2-5,Green,0.94,17513002
, CLA-UA Champions Cyber League (UA) (2x5 mins),luxiqq x drksd3,luxiqq,Benfica,drksd3,Liverpool,28/08/2026,02:22:24,Total de Gols,Under,8.5,,,,,1.97,0-0,0-3,Green,0.97,17513003
, CLA-UA Champions Cyber League (UA) (2x5 mins),luxiqq x drksd3,luxiqq,Benfica,drksd3,Liverpool,28/08/2026,02:25:46,Total de Gols,Under,7.5,,,,,2.03,0-0,0-3,Green,1.03,17513003
, CLA-UA Champions Cyber League (UA) (2x5 mins),luxiqq x drksd3,luxiqq,Benfica,drksd3,Liverpool,28/08/2026,02:30:54,Total de Gols,Under,6.5,,,,,2.07,0-2,0-3,Green,1.07,17513003
, CLA-UA Champions Cyber League (UA) (2x5 mins),luxiqq x drksd3,luxiqq,Benfica,drksd3,Liverpool,28/08/2026,02:31:35,Total de Gols,Under,5.5,,,,,2.17,0-2,0-3,Green,1.17,17513003
, CLA-UA Champions Cyber League (UA) (2x5 mins),luxiqq x drksd3,luxiqq,Benfica,drksd3,Liverpool,28/08/2026,02:32:44,Total de Gols,Under,4.5,,,,,2.27,0-2,0-3,Green,1.27,17513003
, CLA-UA France Cyber Cup (UA) (2x5 mins),Zero x Forzyar,Zero,Strasbourg,Forzyar,Monaco,28/08/2026,02:24:18,Total de Gols,Under,6.5,,,,,2.01,0-0,5-4,Red,-1.0,17513127
, CLA-UA France Cyber Cup (UA) (2x5 mins),Zero x Forzyar,Zero,Strasbourg,Forzyar,Monaco,28/08/2026,02:24:30,Total de Gols,Under,7.5,,,,,1.89,0-0,5-4,Red,-1.0,17513127
, CLA-UA France Cyber Cup (UA) (2x5 mins),Zero x Forzyar,Zero,Strasbourg,Forzyar,Monaco,28/08/2026,02:31:45,Total de Gols,Under,8.5,,,,,1.57,2-3,5-4,Red,-1.0,17513127
, CLA-UA France Cyber Cup (UA) (2x5 mins),Zero x Forzyar,Zero,Strasbourg,Forzyar,Monaco,28/08/2026,02:32:23,Total de Gols,Under,9.5,,,,,1.54,3-3,5-4,Green,0.54,17513127
, CLA-UA France Cyber Cup (UA) (2x5 mins),rain x Forzyar,rain,Lyon,Forzyar,Monaco,28/08/2026,02:38:18,Total de Gols,Under,7.5,,,,,1.74,0-0,4-4,Red,-1.0,17520734
, CLA-UA France Cyber Cup (UA) (2x5 mins),rain x Forzyar,rain,Lyon,Forzyar,Monaco,28/08/2026,02:38:58,Total de Gols,Under,6.5,,,,,2.06,0-0,4-4,Red,-1.0,17520734
, CLA-UA France Cyber Cup (UA) (2x5 mins),rain x Forzyar,rain,Lyon,Forzyar,Monaco,28/08/2026,02:40:09,Total de Gols,Under,5.5,,,,,1.93,0-0,4-4,Red,-1.0,17520734
, CLA-UA France Cyber Cup (UA) (2x5 mins),rain x Forzyar,rain,Lyon,Forzyar,Monaco,28/08/2026,02:44:36,Total de Gols,Under,4.5,,,,,2.28,1-1,4-4,Red,-1.0,17520734
, CLA-UA Champions Cyber League (UA) (2x5 mins),FanFan x Galikooo,FanFan,Chelsea,Galikooo,Feyenoord,28/08/2026,02:53:05,Total de Gols,Under,7.5,,,,,2.07,0-0,2-5,Green,1.07,17513120
, CLA-UA Champions Cyber League (UA) (2x5 mins),FanFan x Galikooo,FanFan,Chelsea,Galikooo,Feyenoord,28/08/2026,02:53:37,Total de Gols,Under,8.5,,,,,1.83,0-0,2-5,Green,0.83,17513120
, CLA-UA Champions Cyber League (UA) (2x5 mins),FanFan x Galikooo,FanFan,Chelsea,Galikooo,Feyenoord,28/08/2026,02:57:10,Total de Gols,Under,6.5,,,,,2.16,0-3,2-5,Red,-1.0,17513120
, CLA-UA France Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Nice,Forzyar,Monaco,28/08/2026,02:53:05,Total de Gols,Under,8.5,,,,,1.62,1-0,5-10,Red,-1.0,17513027
, CLA-UA France Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Nice,Forzyar,Monaco,28/08/2026,02:53:10,Total de Gols,Under,7.5,,,,,2.03,1-0,5-10,Red,-1.0,17513027
, CLA-UA France Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Nice,Forzyar,Monaco,28/08/2026,02:55:28,Total de Gols,Under,6.5,,,,,2.07,1-1,5-10,Red,-1.0,17513027
, CLA-UA France Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Nice,Forzyar,Monaco,28/08/2026,02:57:06,Total de Gols,Under,9.5,,,,,1.62,2-2,5-10,Red,-1.0,17513027
, CLA-UA France Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Nice,Forzyar,Monaco,28/08/2026,02:57:29,Total de Gols,Under,10.5,,,,,1.57,2-3,5-10,Red,-1.0,17513027
, CLA-UA France Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Nice,Forzyar,Monaco,28/08/2026,02:57:56,Total de Gols,Under,11.5,,,,,1.56,2-4,5-10,Red,-1.0,17513027
, CLA-UA France Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Nice,Forzyar,Monaco,28/08/2026,02:59:06,Total de Gols,Under,12.5,,,,,1.89,3-5,5-10,Red,-1.0,17513027
, CLA-UA France Cyber Cup (UA) (2x5 mins),simaha x Forzyar,simaha,Nice,Forzyar,Monaco,28/08/2026,02:59:38,Total de Gols,Under,13.5,,,,,1.68,3-6,5-10,Red,-1.0,17513027
, CLA-UA France Cyber Cup (UA) (2x5 mins),Zero x rain,Zero,Strasbourg,rain,Lyon,28/08/2026,03:06:08,Total de Gols,Under,6.5,,,,,1.59,0-0,6-2,Red,-1.0,17520736
, CLA-UA France Cyber Cup (UA) (2x5 mins),Zero x rain,Zero,Strasbourg,rain,Lyon,28/08/2026,03:06:23,Total de Gols,Under,5.5,,,,,2.07,0-0,6-2,Red,-1.0,17520736
, CLA-UA France Cyber Cup (UA) (2x5 mins),Zero x rain,Zero,Strasbourg,rain,Lyon,28/08/2026,03:07:37,Total de Gols,Under,7.5,,,,,1.7,1-0,6-2,Red,-1.0,17520736
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),kozak x sensiz,kozak,Real Sociedad,sensiz,Real Betis,28/08/2026,05:00:07,Total de Gols,Under,7.5,,,,,1.78,0-0,2-4,Green,0.78,17523366
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),kozak x sensiz,kozak,Real Sociedad,sensiz,Real Betis,28/08/2026,05:03:57,Total de Gols,Under,6.5,,,,,2.07,0-1,2-4,Green,1.07,17523366
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),kozak x sensiz,kozak,Real Sociedad,sensiz,Real Betis,28/08/2026,05:08:22,Total de Gols,Under,5.5,,,,,2.17,1-2,2-4,Red,-1.0,17523366
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),palkan x T3RZ,palkan,Inter,T3RZ,Torino,28/08/2026,05:00:10,Total de Gols,Under,9.5,,,,,1.75,0-0,4-6,Red,-1.0,17523349
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),palkan x T3RZ,palkan,Inter,T3RZ,Torino,28/08/2026,05:02:48,Total de Gols,Under,8.5,,,,,2.03,0-0,4-6,Red,-1.0,17523349
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),palkan x T3RZ,palkan,Inter,T3RZ,Torino,28/08/2026,05:04:28,Total de Gols,Under,7.5,,,,,2.03,0-0,4-6,Red,-1.0,17523349
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),palkan x T3RZ,palkan,Inter,T3RZ,Torino,28/08/2026,05:06:54,Total de Gols,Under,6.5,,,,,2.12,0-1,4-6,Red,-1.0,17523349
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),palkan x T3RZ,palkan,Inter,T3RZ,Torino,28/08/2026,05:12:43,Total de Gols,Under,10.5,,,,,1.44,4-4,4-6,Green,0.44,17523349
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x Shot,aloha,Mallorca,Shot,Celta Vigo,28/08/2026,05:14:20,Total de Gols,Under,6.5,,,,,1.69,0-0,5-4,Red,-1.0,17523382
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x Shot,aloha,Mallorca,Shot,Celta Vigo,28/08/2026,05:14:51,Total de Gols,Under,5.5,,,,,2.12,0-0,5-4,Red,-1.0,17523382
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x Shot,aloha,Mallorca,Shot,Celta Vigo,28/08/2026,05:17:30,Total de Gols,Under,7.5,,,,,1.92,1-1,5-4,Red,-1.0,17523382
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x Shot,aloha,Mallorca,Shot,Celta Vigo,28/08/2026,05:19:27,Total de Gols,Under,8.5,,,,,1.94,2-2,5-4,Red,-1.0,17523382
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x Shot,aloha,Mallorca,Shot,Celta Vigo,28/08/2026,05:22:06,Total de Gols,Under,9.5,,,,,1.79,3-3,5-4,Green,0.79,17523382
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x Shot,aloha,Mallorca,Shot,Celta Vigo,28/08/2026,05:23:57,Total de Gols,Under,10.5,,,,,1.52,4-4,5-4,Green,0.52,17523382
,CLA-UA World Cyber Cup (UA) (2x5 mins),shatik666 x Nona,shatik666,Hungary,Nona,Netherlands,28/08/2026,05:14:15,Total de Gols,Under,7.5,,,,,1.97,0-0,6-5,Red,-1.0,17523413
,CLA-UA World Cyber Cup (UA) (2x5 mins),shatik666 x Nona,shatik666,Hungary,Nona,Netherlands,28/08/2026,05:15:32,Total de Gols,Under,6.5,,,,,2.06,0-0,6-5,Red,-1.0,17523413
,CLA-UA World Cyber Cup (UA) (2x5 mins),shatik666 x Nona,shatik666,Hungary,Nona,Netherlands,28/08/2026,05:18:13,Total de Gols,Under,8.5,,,,,1.76,1-1,6-5,Red,-1.0,17523413
,CLA-UA World Cyber Cup (UA) (2x5 mins),shatik666 x Nona,shatik666,Hungary,Nona,Netherlands,28/08/2026,05:22:44,Total de Gols,Under,9.5,,,,,1.92,2-4,6-5,Red,-1.0,17523413
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),djamik x Terry14,djamik,Napoli,Terry14,Atalanta,28/08/2026,05:16:26,Total de Gols,Under,7.5,,,,,1.74,0-0,5-2,Green,0.74,17523350
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),djamik x Terry14,djamik,Napoli,Terry14,Atalanta,28/08/2026,05:17:09,Total de Gols,Under,8.5,,,,,1.69,0-0,5-2,Green,0.69,17523350
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x sensiz,aloha,Mallorca,sensiz,Real Betis,28/08/2026,05:28:31,Total de Gols,Under,7.5,,,,,1.62,0-0,4-3,Green,0.62,17523381
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x sensiz,aloha,Mallorca,sensiz,Real Betis,28/08/2026,05:28:42,Total de Gols,Under,6.5,,,,,2.07,0-0,4-3,Red,-1.0,17523381
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x sensiz,aloha,Mallorca,sensiz,Real Betis,28/08/2026,05:30:00,Total de Gols,Under,8.5,,,,,1.62,0-1,4-3,Green,0.62,17523381
,CLA-UA World Cyber Cup (UA) (2x5 mins),vrud1 x Nona,vrud1,Tunisia,Nona,Netherlands,28/08/2026,05:28:11,Total de Gols,Under,7.5,,,,,1.98,0-0,12-4,Red,-1.0,17523414
,CLA-UA World Cyber Cup (UA) (2x5 mins),vrud1 x Nona,vrud1,Tunisia,Nona,Netherlands,28/08/2026,05:29:29,Total de Gols,Under,6.5,,,,,2.07,0-0,12-4,Red,-1.0,17523414
,CLA-UA World Cyber Cup (UA) (2x5 mins),vrud1 x Nona,vrud1,Tunisia,Nona,Netherlands,28/08/2026,05:32:13,Total de Gols,Under,5.5,,,,,2.12,1-0,12-4,Red,-1.0,17523414
,CLA-UA World Cyber Cup (UA) (2x5 mins),vrud1 x Nona,vrud1,Tunisia,Nona,Netherlands,28/08/2026,05:32:58,Total de Gols,Under,8.5,,,,,1.79,2-1,12-4,Red,-1.0,17523414
,CLA-UA World Cyber Cup (UA) (2x5 mins),vrud1 x Nona,vrud1,Tunisia,Nona,Netherlands,28/08/2026,05:34:21,Total de Gols,Under,9.5,,,,,1.56,3-1,12-4,Red,-1.0,17523414
,CLA-UA World Cyber Cup (UA) (2x5 mins),vrud1 x Nona,vrud1,Tunisia,Nona,Netherlands,28/08/2026,05:34:59,Total de Gols,Under,10.5,,,,,1.91,4-2,12-4,Red,-1.0,17523414
,CLA-UA World Cyber Cup (UA) (2x5 mins),vrud1 x Nona,vrud1,Tunisia,Nona,Netherlands,28/08/2026,05:36:09,Total de Gols,Under,11.5,,,,,1.94,5-3,12-4,Red,-1.0,17523414
,CLA-UA World Cyber Cup (UA) (2x5 mins),vrud1 x Nona,vrud1,Tunisia,Nona,Netherlands,28/08/2026,05:36:31,Total de Gols,Under,12.5,,,,,1.69,6-3,12-4,Red,-1.0,17523414
,CLA-UA World Cyber Cup (UA) (2x5 mins),vrud1 x Nona,vrud1,Tunisia,Nona,Netherlands,28/08/2026,05:36:56,Total de Gols,Under,13.5,,,,,1.46,7-3,12-4,Red,-1.0,17523414
,CLA-UA World Cyber Cup (UA) (2x5 mins),vrud1 x Nona,vrud1,Tunisia,Nona,Netherlands,28/08/2026,05:37:49,Total de Gols,Under,14.5,,,,,1.57,9-3,12-4,Red,-1.0,17523414
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),sensiz x Gammi,sensiz,Real Betis,Gammi,Espanyol,28/08/2026,05:42:16,Total de Gols,Under,6.5,,,,,1.97,0-0,1-4,Green,0.97,17523370
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),sensiz x Gammi,sensiz,Real Betis,Gammi,Espanyol,28/08/2026,05:45:09,Total de Gols,Under,5.5,,,,,2.11,0-1,1-4,Green,1.11,17523370
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),sensiz x Gammi,sensiz,Real Betis,Gammi,Espanyol,28/08/2026,05:47:52,Total de Gols,Under,4.5,,,,,2.22,0-2,1-4,Red,-1.0,17523370
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x Gammi,aloha,Mallorca,Gammi,Espanyol,28/08/2026,05:57:27,Total de Gols,Under,7.5,,,,,1.91,1-0,6-2,Red,-1.0,17523385
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x Gammi,aloha,Mallorca,Gammi,Espanyol,28/08/2026,05:58:38,Total de Gols,Under,6.5,,,,,2.11,1-0,6-2,Red,-1.0,17523385
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x Gammi,aloha,Mallorca,Gammi,Espanyol,28/08/2026,05:59:46,Total de Gols,Under,8.5,,,,,1.72,2-0,6-2,Green,0.72,17523385
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),aloha x Gammi,aloha,Mallorca,Gammi,Espanyol,28/08/2026,06:03:15,Total de Gols,Under,5.5,,,,,2.17,3-0,6-2,Red,-1.0,17523385
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),T3RZ x Terry14,T3RZ,Torino,Terry14,Atalanta,28/08/2026,05:57:40,Total de Gols,Under,7.5,,,,,1.72,0-0,5-4,Red,-1.0,17523357
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),T3RZ x Terry14,T3RZ,Torino,Terry14,Atalanta,28/08/2026,05:58:05,Total de Gols,Under,6.5,,,,,2.08,0-0,5-4,Red,-1.0,17523357
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),T3RZ x Terry14,T3RZ,Torino,Terry14,Atalanta,28/08/2026,06:02:35,Total de Gols,Under,5.5,,,,,2.03,2-0,5-4,Red,-1.0,17523357
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),T3RZ x Terry14,T3RZ,Torino,Terry14,Atalanta,28/08/2026,06:03:52,Total de Gols,Under,4.5,,,,,2.28,2-0,5-4,Red,-1.0,17523357
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),T3RZ x Terry14,T3RZ,Torino,Terry14,Atalanta,28/08/2026,06:06:31,Total de Gols,Under,8.5,,,,,1.44,4-2,5-4,Red,-1.0,17523357
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),Shot x Gammi,Shot,Celta Vigo,Gammi,Espanyol,28/08/2026,06:08:52,Total de Gols,Under,5.5,,,,,2.02,0-0,2-3,Green,1.02,17523387
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),Shot x Gammi,Shot,Celta Vigo,Gammi,Espanyol,28/08/2026,06:12:01,Total de Gols,Under,4.5,,,,,2.12,0-0,2-3,Red,-1.0,17523387
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),Shot x Gammi,Shot,Celta Vigo,Gammi,Espanyol,28/08/2026,06:15:54,Total de Gols,Under,3.5,,,,,2.12,0-1,2-3,Red,-1.0,17523387
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),T3RZ x palkan,T3RZ,Torino,palkan,Inter,28/08/2026,06:09:54,Total de Gols,Under,9.5,,,,,1.68,0-0,2-2,Green,0.68,17523360
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),Terry14 x djamik,Terry14,Atalanta,djamik,Napoli,28/08/2026,06:23:41,Total de Gols,Under,7.5,,,,,1.62,0-0,0-0,Green,0.62,17523361
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),Terry14 x djamik,Terry14,Atalanta,djamik,Napoli,28/08/2026,06:24:36,Total de Gols,Under,6.5,,,,,2.07,0-0,0-0,Green,1.07,17523361
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),Terry14 x djamik,Terry14,Atalanta,djamik,Napoli,28/08/2026,06:26:15,Total de Gols,Under,5.5,,,,,2.07,0-0,0-0,Green,1.07,17523361
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),Terry14 x djamik,Terry14,Atalanta,djamik,Napoli,28/08/2026,06:28:08,Total de Gols,Under,4.5,,,,,2.16,0-0,0-0,Green,1.16,17523361
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),Terry14 x djamik,Terry14,Atalanta,djamik,Napoli,28/08/2026,06:29:15,Total de Gols,Under,3.5,,,,,2.12,0-0,0-0,Green,1.12,17523361
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),Terry14 x djamik,Terry14,Atalanta,djamik,Napoli,28/08/2026,06:30:51,Total de Gols,Under,2.5,,,,,2.27,0-0,0-0,Green,1.27,17523361
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),Terry14 x djamik,Terry14,Atalanta,djamik,Napoli,28/08/2026,06:31:59,Total de Gols,Under,1.5,,,,,2.36,0-0,0-0,Green,1.36,17523361
, CLA-UA Italy Cyber Cup (UA) (2x5 mins),Terry14 x djamik,Terry14,Atalanta,djamik,Napoli,28/08/2026,06:33:42,Total de Gols,Under,0.5,,,,,2.8,0-0,0-0,Green,1.8,17523361
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),kozak x Gammi,kozak,Real Sociedad,Gammi,Espanyol,28/08/2026,06:24:05,Total de Gols,Under,7.5,,,,,1.83,0-0,3-4,Green,0.83,17523373
, CLA-UA Spain Cyber Cup (UA) (2x5 mins),kozak x Gammi,kozak,Real Sociedad,Gammi,Espanyol,28/08/2026,06:25:09,Total de Gols,Under,6.5,,,,,2.12,0-0,3-4,Red,-1.0,17523373
