Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 5,Qtd Últ. 5,Últ. 1,Qtd Últ. 1,Últ. 10,Qtd Últ. 10,Últ. 30,Qtd Últ. 30,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:02:43,Handicap,OKC Thunder (yangrainmaker) (+9.5),9.5,0.6681222707423581,229,0.8,5,1.0,1,0.6,10,0.43333333333333335,30,1.833,None-None,54-71,Red,-1.0,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:02:43,Handicap,CHI Bulls (CHIEFKEEF) (-9.5),-9.5,0.3318777292576419,229,0.2,5,0.0,1,0.4,10,0.5666666666666667,30,1.833,None-None,54-71,Green,0.833,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:40:55,Handicap,OKC Thunder (yangrainmaker) (+7.5),7.5,0.5895196506550219,229,0.8,5,1.0,1,0.5,10,0.3333333333333333,30,1.869,2-0,54-71,Red,-1.0,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:40:55,Handicap,CHI Bulls (CHIEFKEEF) (-7.5),-7.5,0.4104803493449782,229,0.2,5,0.0,1,0.5,10,0.6666666666666666,30,1.8,2-0,54-71,Green,0.8,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:41:14,Handicap,OKC Thunder (yangrainmaker) (+8.5),8.5,0.6200873362445415,229,0.8,5,1.0,1,0.5,10,0.36666666666666664,30,1.869,2-2,54-71,Red,-1.0,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:41:14,Handicap,CHI Bulls (CHIEFKEEF) (-8.5),-8.5,0.3799126637554585,229,0.2,5,0.0,1,0.5,10,0.6333333333333333,30,1.8,2-2,54-71,Green,0.8,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:44:48,Handicap,OKC Thunder (yangrainmaker) (+10.5),10.5,0.6855895196506551,229,0.8,5,1.0,1,0.6,10,0.4666666666666667,30,1.833,10-14,54-71,Red,-1.0,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:44:48,Handicap,CHI Bulls (CHIEFKEEF) (-10.5),-10.5,0.314410480349345,229,0.2,5,0.0,1,0.4,10,0.5333333333333333,30,1.833,10-14,54-71,Green,0.833,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:45:17,Handicap,OKC Thunder (yangrainmaker) (+12.5),12.5,0.759825327510917,229,0.8,5,1.0,1,0.7,10,0.6,30,1.869,10-17,54-71,Red,-1.0,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:45:17,Handicap,CHI Bulls (CHIEFKEEF) (-12.5),-12.5,0.24017467248908297,229,0.2,5,0.0,1,0.3,10,0.4,30,1.8,10-17,54-71,Green,0.8,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:45:37,Handicap,OKC Thunder (yangrainmaker) (+11.5),11.5,0.7030567685589519,229,0.8,5,1.0,1,0.6,10,0.5,30,1.8,12-17,54-71,Red,-1.0,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:45:37,Handicap,CHI Bulls (CHIEFKEEF) (-11.5),-11.5,0.29694323144104806,229,0.2,5,0.0,1,0.4,10,0.5,30,1.869,12-17,54-71,Green,0.869,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:48:03,Handicap,OKC Thunder (yangrainmaker) (+13.5),13.5,0.7903930131004366,229,0.8,5,1.0,1,0.7,10,0.6,30,1.833,14-23,54-71,Red,-1.0,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:48:03,Handicap,CHI Bulls (CHIEFKEEF) (-13.5),-13.5,0.2096069868995633,229,0.2,5,0.0,1,0.3,10,0.4,30,1.833,14-23,54-71,Green,0.833,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:48:28,Handicap,OKC Thunder (yangrainmaker) (+15.5),15.5,0.834061135371179,229,0.8,5,1.0,1,0.7,10,0.6333333333333333,30,1.8,14-25,54-71,Red,-1.0,12223614
,B-EBASKBAT4X5,yangrainmaker x CHIEFKEEF,yangrainmaker,OKC Thunder,CHIEFKEEF,CHI Bulls,14/07/2026,04:48:28,Handicap,CHI Bulls (CHIEFKEEF) (-15.5),-15.5,0.16593886462882096,229,0.2,5,0.0,1,0.3,10,0.36666666666666664,30,1.869,14-25,54-71,Green,0.869,12223614
