passe,janela,wr_min,wr_max,janela2,op2,wr2,conf_min,conf_max,linha_min,linha_max,odd_min,odd_max,lado,extra,teto,apostas,jogos,por_jogo,G,R,WR,unidades,ROI,vivo,queda_ponta,roi_3d,u_3d,G_3d,R_3d,ap_3d,roi_7d,u_7d,G_7d,R_7d,ap_7d,borda_chip,fragil,conc_par,conc_alvo,n_par,n_alvo,dano_par,id_suspeita,u_dia,ap_dia,odd_media,break_even,margem_be,linha_media,DD,lucro_dd,pior_jogo,pior_dia,melhor_dia,dias_pos,dias_neg,max_reds,z_jogo,roi_m1,roi_m2,acima_sorte,acima_placebo,roi_treino,roi_cego,ap_cego,desvio_cego,equiv
P4,-,0.0,-,-,,-,0,-,2.5,-,-,-,zebra,atropelo<=20,1,175,175,1.0,98,77,56.0,4.75,2.72,1,,,1.16,5,3,8,9.98,1.5,9,6,15,,,168.2,230.1,76,13,-8.33,1,0.25,9.2,1.835,54.5,1.5,5.4,13.5,0.4,-1.0,-5.5,6.61,11,6,8,0.39,2.58,3.6,0.88,-0.46,1.4,,14,,2
P4,-,0.0,-,-,,-,0,-,2.5,-,-,-,zebra,atropelo<=25,1,339,339,1.0,187,152,55.2,4.37,1.29,1,25.83,26.03,9.11,24,11,35,0.07,0.06,43,36,79,,,240.3,324.2,89,14,-12.17,1,0.23,17.8,1.836,54.5,0.7,5.1,25.08,0.2,-1.0,-7.5,7.66,11,8,6,0.26,1.81,0.2,4.16,-1.89,-0.65,8.6,71,9.25,2
P4,-,0.0,-,-,,-,0,-,1.5,2.5,-,-,zebra,atropelo<=25,1,166,166,1.0,90,76,54.2,-1.4,-0.84,0,11.81,12.35,3.83,19,12,31,-4.16,-2.46,31,28,59,,,,,59,15,,0,-0.07,8.7,1.831,54.6,-0.4,1.9,13.58,-0.1,-1.0,-4.5,5.45,8,11,5,-0.12,-2.07,0.54,-3.02,-4.02,2.03,-6.97,53,-9.0,2
P4,-,0.0,-,-,,-,0,-,1.5,-,-,-,zebra,atropelo<=20,1,226,226,1.0,122,104,54.0,-2.41,-1.07,1,19.28,22.2,2.66,8,4,12,3.25,0.97,17,13,30,,,,,90,17,,0,-0.13,11.9,1.833,54.5,-0.6,4.5,16.85,-0.1,-1.0,-5.67,6.85,10,8,8,-0.18,-1.9,2.92,-1.14,-4.25,-2.72,10.62,28,13.35,2
P4,-,0.0,-,-,,-,0,-,1.5,2.5,-,-,zebra,atropelo 20~35.29,1,153,153,1.0,82,71,53.6,-2.88,-1.88,0,11.68,4.74,2.32,28,21,49,-5.11,-4.03,41,38,79,,,,,52,14,,0,-0.15,8.1,1.832,54.6,-1.0,1.9,19.65,-0.1,-1.0,-6.33,4.66,9,10,11,-0.25,10.24,-6.94,-4.53,-5.06,4.84,-9.64,71,-14.48,2
P4,-,0.0,-,-,,-,0,-,2.5,5.5,-,-,zebra,atropelo<=25,1,247,247,1.0,132,115,53.4,-4.69,-1.9,0,31.66,28.71,8.61,21,9,30,-2.04,-1.22,32,28,60,,,,,74,13,,0,-0.25,13.0,1.836,54.5,-1.0,3.9,25.52,-0.2,-1.0,-5.67,6.0,8,11,5,-0.32,-1.33,-2.95,-1.29,-5.08,-3.91,4.96,56,8.86,2
P4,-,0.0,-,-,,-,0,-,4.5,-,-,-,zebra,atropelo<=25,1,209,209,1.0,111,98,53.1,-4.94,-2.36,0,18.76,15.31,2.45,10,6,16,-7.81,-3.44,22,22,44,,,,,70,13,,0,-0.26,11.0,1.836,54.5,-1.3,6.4,15.89,-0.3,-1.0,-6.05,2.66,9,10,6,-0.37,-1.92,-3.45,-2.99,-5.54,-4.37,7.26,36,11.62,2
P4,-,0.0,-,-,,-,0,-,1.5,-,-,-,zebra,atropelo<=25,1,434,434,1.0,232,202,53.5,-8.52,-1.96,0,14.78,14.35,7.61,33,20,53,-2.9,-3.39,62,55,117,,,,,99,17,,0,-0.45,22.8,1.834,54.5,-1.1,4.3,33.63,-0.3,-1.0,-9.67,6.47,8,11,7,-0.45,-2.86,-0.43,2.21,1.1,-3.0,1.37,103,4.37,2
P4,-,0.0,-,-,,-,0,-,2.5,-,-,-,zebra,lin_ini<=4.5,1,335,335,1.0,178,157,53.1,-8.58,-2.56,0,16.49,9.15,6.77,44,30,74,-7.69,-9.61,63,62,125,,,,,100,16,,0,-0.45,17.6,1.834,54.5,-1.4,3.5,39.25,-0.2,-1.0,-8.34,9.49,8,11,6,-0.51,2.48,-7.34,0.26,-5.74,-1.25,-5.11,114,-3.87,2
P4,-,0.0,-,-,,-,0,-,2.5,5.5,-,-,zebra,atropelo 20~35.29,1,236,236,1.0,124,112,52.5,-8.68,-3.68,0,16.72,6.33,3.61,33,24,57,-10.2,-10.61,51,53,104,,,,,86,15,,0,-0.46,12.4,1.834,54.5,-2.0,3.9,32.91,-0.3,-1.0,-10.0,8.0,9,10,6,-0.62,5.95,-10.39,-3.42,-6.86,0.1,-9.29,95,-9.39,2
P4,-,0.0,-,-,,-,0,-,2.5,5.5,-,-,zebra,atropelo>=25,1,189,189,1.0,97,92,51.3,-11.29,-5.97,0,9.0,-6.68,-3.68,28,27,55,-15.89,-15.89,46,54,100,,,,,72,15,,0,-0.59,9.9,1.833,54.6,-3.2,3.9,32.9,-0.3,-1.0,-8.17,5.16,7,12,8,-0.89,14.38,-15.68,-7.3,-9.15,3.99,-18.16,85,-22.15,2
P1,-,0.0,-,-,,-,0,-,1.5,2.5,-,-,zebra,-,1,286,286,1.0,150,136,52.4,-11.49,-4.02,0,6.43,-1.11,-0.85,41,35,76,-9.36,-11.89,63,64,127,,,,,78,17,,0,-0.6,15.1,1.831,54.6,-2.2,1.9,28.69,-0.4,-1.0,-8.5,6.07,7,12,7,-0.74,0.86,-7.54,-2.13,-7.2,0.03,-10.12,114,-10.15,2
P4,-,0.0,-,-,,-,0,-,1.5,5.5,-,-,zebra,atropelo<=20,1,171,171,1.0,86,85,50.3,-13.4,-7.84,1,31.42,33.31,3.66,8,3,11,4.08,1.14,16,12,28,,,,,76,16,,0,-0.71,9.0,1.833,54.5,-4.3,3.2,22.88,-0.6,-1.0,-7.33,3.28,8,10,9,-1.12,-10.25,1.89,-9.83,-11.02,-11.41,12.08,26,23.49,2
P4,-,0.0,-,-,,-,0,-,1.5,5.5,-,-,zebra,atropelo<=25,1,342,342,1.0,177,165,51.8,-17.57,-5.14,0,17.34,14.81,7.11,30,18,48,-4.77,-4.68,51,47,98,,,,,84,16,,0,-0.92,18.0,1.834,54.5,-2.8,3.2,33.41,-0.5,-1.0,-7.5,5.28,6,13,9,-1.04,-6.88,-2.53,-2.22,-8.32,-6.16,-2.18,88,3.99,2
P1,-,0.0,-,-,,-,0,-,2.5,5.5,-,-,zebra,-,1,426,426,1.0,222,204,52.1,-18.81,-4.42,0,16.77,5.81,4.94,49,36,85,-11.29,-17.95,77,82,159,,,,,110,16,,0,-0.99,22.4,1.834,54.5,-2.4,3.9,50.92,-0.4,-1.0,-9.67,11.16,8,11,8,-0.99,2.19,-10.96,-0.36,-1.36,-1.86,-9.64,140,-7.78,2
P4,-,0.0,-,-,,-,0,-,2.5,-,-,-,zebra,atropelo 20~35.29,1,339,339,1.0,174,165,51.3,-19.79,-5.84,0,13.23,2.61,1.77,38,30,68,-8.33,-12.17,73,73,146,,,,,99,15,,0,-1.04,17.8,1.834,54.5,-3.2,5.1,38.97,-0.5,-1.0,-10.5,7.66,7,12,8,-1.17,1.12,-10.62,-2.97,-9.02,-4.75,-7.62,129,-2.87,2
P1,-,0.0,-,-,,-,0,-,4.5,5.5,-,-,zebra,-,1,196,196,1.0,96,100,49.0,-19.89,-10.15,0,17.04,1.54,0.45,16,13,29,-16.57,-11.27,31,37,68,,,,,83,15,,0,-1.05,10.3,1.834,54.5,-5.5,5.0,30.56,-0.7,-1.0,-6.83,5.33,6,13,6,-1.54,-5.5,-15.5,-11.21,-13.33,-8.26,-14.85,56,-6.59,2
P4,-,0.0,-,-,,-,0,-,1.5,-,-,-,zebra,lin_ini 2.5~6.5,1,506,506,1.0,263,243,52.0,-23.66,-4.68,0,13.47,1.95,1.93,55,44,99,-10.82,-20.46,92,97,189,,,,,117,16,,0,-1.25,26.6,1.834,54.5,-2.5,4.3,58.6,-0.4,-1.0,-10.17,11.33,7,12,9,-1.15,2.73,-11.52,0.46,-1.62,-2.6,-8.88,167,-6.28,2
P4,-,0.0,-,-,,-,0,-,4.5,-,-,-,zebra,atropelo 20~35.29,1,217,217,1.0,105,112,48.4,-24.27,-11.18,0,4.78,-7.98,-2.55,16,16,32,-10.36,-9.32,44,46,90,,,,,76,13,,0,-1.28,11.4,1.835,54.5,-6.1,6.3,31.29,-0.8,-1.0,-5.17,2.83,7,12,5,-1.79,-9.08,-12.76,-11.55,-14.36,-12.0,-9.57,73,2.43,2
P4,-,0.0,-,-,,-,0,-,1.5,5.5,-,-,zebra,atropelo 20~35.29,1,325,325,1.0,164,161,50.5,-24.55,-7.55,0,9.98,-1.66,-1.4,45,39,84,-11.57,-17.47,73,78,151,,,,,90,15,,0,-1.29,17.1,1.833,54.6,-4.1,3.3,48.22,-0.5,-1.0,-13.67,7.45,7,12,8,-1.48,-0.38,-11.64,-4.87,-10.73,-3.17,-13.8,134,-10.63,2
P4,-,0.0,-,-,,-,0,-,4.5,-,-,-,zebra,lin_ini 2.5~6.5,1,276,276,1.0,137,139,49.6,-24.73,-8.96,0,9.02,-5.94,-2.55,22,21,43,-14.06,-13.77,46,52,98,,,,,97,15,,0,-1.3,14.5,1.834,54.5,-4.9,5.4,37.58,-0.7,-1.0,-7.34,6.83,6,13,8,-1.62,-2.78,-14.96,-7.4,-12.14,-7.81,-11.63,83,-3.82,2
P1,-,0.0,-,-,,-,0,-,1.5,1.5,-,-,zebra,-,1,165,165,1.0,75,90,45.5,-28.08,-17.02,0,-3.51,-17.51,-7.01,18,22,40,-15.88,-12.38,36,42,78,,,,,60,16,,0,-1.48,8.7,1.828,54.7,-9.2,1.5,31.08,-0.9,-1.0,-6.67,2.12,7,12,10,-2.4,-22.44,-14.0,-19.23,-20.2,-15.21,-19.74,66,-4.53,2
P4,-,0.0,-,-,,-,0,-,1.5,5.5,-,-,zebra,atropelo>=25,1,261,261,1.0,127,134,48.7,-28.49,-10.91,0,7.0,-11.92,-9.18,37,40,77,-18.32,-25.83,63,78,141,,,,,75,16,,0,-1.5,13.7,1.831,54.6,-5.9,3.2,49.83,-0.6,-1.0,-14.5,6.5,7,12,11,-1.92,8.57,-18.92,-9.85,-14.09,-2.63,-20.65,120,-18.02,2
