passe,janela,wr_min,wr_max,janela2,op2,wr2,conf_min,conf_max,linha_min,linha_max,odd_min,odd_max,lado,extra,teto,apostas,jogos,por_jogo,G,R,WR,unidades,ROI,vivo,queda_ponta,roi_3d,u_3d,G_3d,R_3d,ap_3d,roi_7d,u_7d,G_7d,R_7d,ap_7d,borda_chip,fragil,conc_par,conc_alvo,n_par,n_alvo,dano_par,id_suspeita,u_dia,ap_dia,odd_media,break_even,margem_be,linha_media,DD,lucro_dd,pior_jogo,pior_dia,melhor_dia,dias_pos,dias_neg,max_reds,z_jogo,roi_m1,roi_m2,acima_sorte,acima_placebo,roi_treino,roi_cego,ap_cego,desvio_cego,equiv
P1,-,0.0,-,-,,-,0,-,6.5,-,-,-,zebra,-,1,251,251,1.0,121,130,48.2,-28.97,-11.54,0,-18.35,-42.12,-8.0,6,13,19,-24.24,-19.39,33,47,80,,,,,79,11,,0,-1.52,13.2,1.834,54.5,-6.3,8.7,36.08,-0.8,-1.0,-11.0,6.16,6,13,11,-1.99,1.6,-23.77,-10.8,-14.72,-6.27,-27.26,63,-20.99,2
P4,-,0.0,-,-,,-,0,-,1.5,-,-,-,zebra,atropelo 20~35.29,1,428,428,1.0,214,214,50.0,-35.66,-8.33,0,8.12,-3.4,-3.23,50,45,95,-9.86,-19.02,95,98,193,,,,,103,15,,0,-1.88,22.5,1.833,54.5,-4.5,4.4,57.62,-0.6,-1.0,-14.17,6.45,8,11,8,-1.88,-2.94,-11.52,-4.24,-5.27,-6.21,-11.61,168,-5.39,2
P4,-,0.0,-,-,,-,0,-,1.5,-,-,-,zebra,lin_ini<=4.5,1,500,500,1.0,253,247,50.6,-36.66,-7.33,0,9.67,-0.21,-0.23,62,52,114,-10.84,-22.0,99,104,203,,,,,104,17,,0,-1.93,26.3,1.832,54.6,-4.0,2.8,63.42,-0.6,-1.0,-15.0,8.49,6,13,11,-1.79,-4.14,-9.88,-2.26,-4.27,-5.56,-10.48,180,-4.91,2
P4,-,0.0,-,-,,-,0,-,2.5,-,-,-,zebra,atropelo>=35.29,1,181,181,1.0,78,103,43.1,-37.91,-20.94,0,9.47,-19.81,-6.34,14,18,32,-35.31,-30.01,30,55,85,,,,,57,8,,0,-2.0,9.5,1.834,54.5,-11.4,6.9,41.69,-0.9,-1.0,-9.84,3.33,7,11,13,-3.09,-1.34,-29.28,-22.56,-24.12,-10.64,-38.9,66,-28.26,2
P4,-,0.0,-,-,,-,0,-,6.5,-,-,-,zebra,atropelo>=25,1,164,164,1.0,67,97,40.9,-41.19,-25.12,0,-29.24,-60.72,-8.5,3,11,14,-33.89,-20.67,22,39,61,,,,,58,8,,0,-2.17,8.6,1.833,54.6,-13.7,9.0,41.19,-1.0,-1.0,-8.33,4.66,3,14,12,-3.56,-13.17,-31.48,-27.36,-28.3,-17.83,-42.72,48,-24.89,2
P4,-,0.0,-,-,,-,0,-,1.5,-,-,-,zebra,atropelo>=35.29,1,213,213,1.0,93,120,43.7,-42.5,-19.96,0,4.37,-23.27,-10.01,18,25,43,-34.15,-35.18,37,66,103,,,,,57,8,,0,-2.24,11.2,1.833,54.6,-10.9,6.1,45.03,-0.9,-1.0,-9.33,3.33,6,12,8,-3.2,-0.8,-27.64,-20.45,-23.14,-9.72,-36.64,81,-26.92,2
P1,-,0.0,-,-,,-,0,-,1.5,5.5,-,-,zebra,-,1,591,591,1.0,297,294,50.3,-46.89,-7.93,0,10.31,-1.66,-2.07,67,58,125,-12.8,-30.34,113,124,237,,,,,112,17,,0,-2.47,31.1,1.833,54.6,-4.3,3.2,74.6,-0.6,-1.0,-16.34,10.16,7,12,11,-2.1,-3.17,-11.97,-1.94,-4.87,-5.29,-12.88,206,-7.59,2
P4,-,0.0,-,-,,-,0,-,4.5,-,-,-,zebra,atropelo>=25,1,249,249,1.0,110,139,44.2,-47.58,-19.11,0,-4.45,-31.26,-10.0,12,20,32,-26.18,-27.23,42,62,104,,,,,72,10,,0,-2.5,13.1,1.832,54.6,-10.4,7.6,51.75,-0.9,-1.0,-10.09,3.83,5,14,11,-3.31,-5.26,-26.81,-18.43,-22.29,-11.73,-33.86,83,-22.12,2
P1,-,0.0,-,-,,-,0,-,2.5,-,-,-,zebra,-,1,677,677,1.0,343,334,50.7,-47.78,-7.06,0,12.85,-2.95,-3.07,55,49,104,-15.63,-37.34,110,129,239,,,,,126,16,,0,-2.51,35.6,1.834,54.5,-3.9,5.7,81.51,-0.6,-1.0,-14.1,10.83,6,13,15,-2.0,1.98,-15.8,-0.19,-4.0,-3.61,-15.11,203,-11.5,2
P1,-,0.0,-,-,,-,0,-,4.5,-,-,-,zebra,-,1,447,447,1.0,217,230,48.5,-48.86,-10.93,0,4.62,-15.74,-7.55,22,26,48,-20.72,-30.66,64,84,148,,,,,108,15,,0,-2.57,23.5,1.834,54.5,-6.0,7.1,62.82,-0.8,-1.0,-8.84,6.33,5,14,11,-2.52,-1.7,-20.36,-6.58,-7.87,-7.12,-21.42,119,-14.3,2
P4,-,0.0,-,-,,-,0,-,2.5,-,-,-,zebra,atropelo>=25,1,353,353,1.0,164,189,46.5,-52.48,-14.87,0,5.22,-17.65,-12.18,31,38,69,-22.71,-36.57,68,93,161,,,,,90,15,,0,-2.76,18.6,1.833,54.6,-8.1,6.3,64.76,-0.8,-1.0,-13.43,3.5,6,13,15,-3.05,1.07,-22.87,-11.8,-18.05,-7.52,-27.03,133,-19.51,2
P4,-,0.0,-,-,,-,0,-,1.5,-,-,-,zebra,atropelo>=25,1,425,425,1.0,194,231,45.6,-69.68,-16.39,0,4.09,-19.43,-17.68,40,51,91,-23.02,-46.5,85,117,202,,,,,93,16,,0,-3.67,22.4,1.832,54.6,-8.9,5.4,80.86,-0.9,-1.0,-13.84,3.5,7,12,11,-3.7,-0.75,-23.52,-12.35,-13.33,-9.49,-26.95,168,-17.46,2
P1,-,0.0,-,-,,-,0,-,1.5,-,-,-,zebra,-,1,842,842,1.0,418,424,49.6,-75.86,-9.01,0,8.39,-6.99,-10.07,73,71,144,-15.69,-49.73,146,171,317,,,,,128,17,,0,-3.99,44.3,1.833,54.6,-4.9,4.9,107.02,-0.7,-1.0,-16.84,8.82,4,15,11,-2.85,-1.7,-15.38,-0.89,-5.95,-5.61,-16.25,269,-10.63,2
