passe,janela,wr_min,wr_max,janela2,op2,wr2,conf_min,conf_max,linha_min,linha_max,odd_min,odd_max,lado,extra,teto,apostas,jogos,por_jogo,G,R,WR,unidades,ROI,vivo,queda_ponta,roi_3d,u_3d,G_3d,R_3d,ap_3d,roi_7d,u_7d,G_7d,R_7d,ap_7d,borda_chip,fragil,conc_par,conc_alvo,n_par,dano_par,roi_sem3_par,vol3_par,id_suspeita,u_dia,ap_dia,odd_media,break_even,margem_be,linha_media,DD,lucro_dd,pior_jogo,pior_dia,melhor_dia,dias_pos,dias_neg,max_reds,z_jogo,roi_m1,roi_m2,acima_sorte,acima_placebo,roi_treino,roi_cego,ap_cego,desvio_cego,equiv,acima_sorte_par,premio,premio_alto,sem_tot,sem_pos,ult_sem_u,robusta,selo
P4,-,0.0,-,-,,-,0,-,4.5,5.5,-,-,zebra,dif 0~1,3,487,347,1.4,324,163,66.5,28.16,5.78,0,1.0,-0.23,-0.27,74,44,118,2.14,6.09,183,101,284,,,30.4,,250,-11.38,4.14,2.9,0,2.82,48.7,1.59,62.9,3.7,5.2,12.41,2.3,-2.0,-9.08,24.95,5,5,6,1.47,9.82,-1.23,13.45,-0.24,7.7,-0.23,118,-7.93,6,12.97,17.98,0,2,1,-2.19,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,3.5,5.5,-,-,zebra,dif 0~1,4,557,349,1.6,368,189,66.1,25.04,4.5,0,0.3,-2.04,-2.74,83,51,134,0.88,2.84,206,116,322,,,37.2,,251,-15.01,2.91,2.9,0,2.5,55.7,1.582,63.2,2.9,5.0,15.31,1.6,-3.0,-13.26,30.67,5,5,7,1.13,8.48,-2.34,12.18,-1.52,6.57,-2.04,134,-8.61,5,11.7,16.7,0,2,1,-4.8,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif 0~1,4,579,349,1.66,383,196,66.1,24.7,4.27,0,-0.45,-2.17,-3.11,89,54,143,1.01,3.4,216,120,336,,,37.7,,251,-16.27,2.73,2.8,0,2.47,57.9,1.577,63.4,2.8,4.9,15.73,1.6,-4.0,-12.68,29.67,5,5,7,1.08,7.86,-1.72,11.95,-1.75,6.38,-2.17,143,-8.55,7,11.48,16.47,0,2,1,-3.74,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif 0~1,3,556,349,1.59,367,189,66.0,24.5,4.41,0,0.3,-2.04,-2.74,83,51,134,0.88,2.84,206,116,322,,,38.0,,251,-15.01,2.81,2.9,0,2.45,55.6,1.582,63.2,2.8,5.0,15.31,1.6,-3.0,-13.26,30.13,5,5,7,1.1,8.35,-2.34,12.1,-1.61,6.45,-2.04,134,-8.5,4,11.62,16.61,0,2,1,-4.8,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif 0~1,5,588,349,1.68,389,199,66.2,24.27,4.13,0,-0.33,-1.29,-1.88,92,54,146,1.61,5.49,221,120,341,,,38.4,,251,-18.27,2.62,2.7,0,2.43,58.8,1.575,63.5,2.7,4.8,17.73,1.4,-5.0,-13.68,28.67,5,5,8,1.06,7.19,-0.96,11.82,-1.89,5.92,-1.29,146,-7.2,5,11.34,16.33,0,2,1,-2.13,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif<=0,1,251,251,1.0,171,80,68.1,24.08,9.59,1,2.28,10.58,6.77,44,20,64,10.65,16.08,104,47,151,,,26.9,,190,-7.0,7.4,5.2,0,2.41,25.1,1.611,62.1,6.0,5.4,5.11,4.7,-1.0,-1.6,7.21,8,2,4,2.02,10.39,8.3,16.35,3.57,9.26,10.58,64,1.32,3,15.91,21.8,0,2,2,7.97,1,DIRECAO
P4,-,0.0,-,-,,-,0,-,3.5,5.5,-,-,zebra,dif<=0,1,250,250,1.0,170,80,68.0,23.71,9.48,1,2.28,10.58,6.77,44,20,64,10.65,16.08,104,47,151,,,27.3,,189,-7.0,7.27,5.2,0,2.37,25.0,1.612,62.1,5.9,5.4,5.11,4.6,-1.0,-1.97,7.21,8,2,4,1.99,10.22,8.3,16.23,3.46,9.11,10.58,64,1.47,1,15.8,21.69,0,2,2,7.97,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif 0~1,6,590,349,1.69,390,200,66.1,23.64,4.01,0,-0.33,-1.29,-1.88,92,54,146,1.61,5.49,221,120,341,,,39.4,,251,-19.27,2.5,2.7,0,2.36,59.0,1.574,63.5,2.6,4.8,18.73,1.3,-6.0,-13.68,28.67,5,5,8,1.02,6.98,-0.96,11.7,-2.01,5.75,-1.29,146,-7.04,3,11.22,16.21,0,2,1,-2.13,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif<=0,3,828,508,1.63,516,312,62.3,20.82,2.51,1,0.74,1.18,2.41,125,79,204,0.04,0.21,294,189,483,,,64.8,,317,-16.33,0.92,3.5,0,2.08,82.8,1.654,60.5,1.8,5.9,20.26,1.0,-3.0,-13.44,15.22,6,4,10,0.74,3.74,0.44,11.68,-2.21,2.95,1.18,204,-1.77,3,11.75,14.72,0,2,2,1.37,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif 0~1,3,1064,589,1.81,665,399,62.5,20.63,1.94,0,-0.07,-2.78,-7.33,157,107,264,-2.6,-16.27,374,251,625,,,64.6,,352,-17.98,0.7,2.4,0,2.06,106.4,1.637,61.1,1.4,5.9,32.07,0.6,-3.0,-17.79,32.74,5,5,9,0.63,4.73,-2.71,11.61,-2.78,3.49,-2.78,264,-6.27,4,11.59,14.14,0,2,1,-10.81,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif 0~1,1,349,349,1.0,231,118,66.2,20.6,5.9,1,0.95,1.65,1.4,54,31,85,2.65,5.44,132,73,205,,,32.5,,251,-7.0,4.11,3.2,0,2.06,34.9,1.6,62.5,3.7,5.5,7.99,2.6,-1.0,-3.74,13.8,6,4,5,1.45,8.91,0.7,13.59,-0.12,7.27,1.65,85,-5.63,4,13.11,18.11,0,2,2,0.9,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,3.5,6.5,-,-,zebra,dif<=0,3,825,507,1.63,513,312,62.2,19.72,2.39,0,0.86,1.18,2.41,125,79,204,-0.04,-0.19,293,189,482,,,68.4,,317,-16.33,0.78,3.5,0,1.97,82.5,1.655,60.4,1.8,6.0,20.66,1.0,-3.0,-13.44,15.22,6,4,10,0.7,3.62,0.32,11.55,-2.33,2.79,1.18,204,-1.61,1,11.62,14.59,0,2,2,0.97,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,tot_env<=0,2,261,200,1.3,173,88,66.3,19.54,7.49,1,6.33,17.23,11.37,48,18,66,9.81,14.61,101,48,149,,,37.5,,156,-9.0,4.88,4.2,0,1.95,26.1,1.621,61.7,4.6,5.3,9.17,2.1,-2.0,-6.81,8.39,8,2,7,1.39,5.6,10.9,13.75,1.47,4.19,17.23,66,13.04,11,13.55,19.69,0,2,2,10.14,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif<=0,4,851,508,1.68,530,321,62.3,19.21,2.26,1,0.2,1.18,2.47,129,81,210,0.39,1.92,303,192,495,,,70.2,,317,-18.0,0.7,3.4,0,1.92,85.1,1.651,60.6,1.7,5.9,18.29,1.1,-4.0,-12.94,16.34,6,4,10,0.67,3.01,0.98,11.42,-2.46,2.61,1.18,210,-1.44,3,11.49,14.46,0,2,2,3.12,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,4.5,5.5,-,-,zebra,dif 0~1,1,347,347,1.0,229,118,66.0,19.2,5.53,1,0.95,1.65,1.4,54,31,85,2.65,5.44,132,73,205,,,34.9,,250,-7.0,3.72,3.2,0,1.92,34.7,1.6,62.5,3.5,5.5,7.99,2.4,-1.0,-3.74,12.4,6,4,5,1.35,8.36,0.7,13.2,-0.49,6.79,1.65,85,-5.15,1,12.72,17.74,0,2,2,0.9,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,5.5,5.5,-,-,zebra,dif 0~1,1,344,344,1.0,226,118,65.7,18.69,5.43,1,1.27,1.88,1.6,54,31,85,3.2,6.5,131,72,203,,,35.8,,247,-7.0,3.6,3.2,0,1.87,34.4,1.603,62.4,3.3,5.5,8.31,2.2,-1.0,-4.69,12.03,6,4,5,1.31,8.25,0.61,13.07,-0.59,6.6,1.88,85,-4.72,1,12.58,17.64,0,2,2,0.78,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,4.5,6.5,-,-,zebra,dif 0~1,3,1054,587,1.8,657,397,62.3,18.1,1.72,0,0.21,-2.41,-6.33,157,106,263,-2.55,-15.83,371,249,620,,,73.6,,352,-17.98,0.46,2.5,0,1.81,105.4,1.638,61.0,1.3,5.9,31.06,0.6,-3.0,-17.19,31.34,5,5,8,0.56,4.34,-2.62,11.37,-3.0,3.09,-2.41,263,-5.5,1,11.36,13.92,0,2,1,-10.4,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,4.5,6.5,-,-,zebra,dif<=0,3,816,506,1.61,506,310,62.0,17.92,2.2,0,1.75,1.68,3.41,125,78,203,-0.31,-1.47,287,187,474,,,75.3,,317,-15.91,0.56,3.6,0,1.79,81.6,1.656,60.4,1.6,6.0,22.37,0.8,-3.0,-12.98,15.22,6,4,10,0.64,3.53,-0.07,11.35,-2.52,2.37,1.68,203,-0.69,6,11.42,14.4,0,2,1,-0.2,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,tot_env<=1,2,357,263,1.36,232,125,65.0,17.83,4.99,1,3.26,5.89,5.36,60,31,91,4.4,9.1,134,73,207,,,45.7,,197,-10.0,2.81,3.6,0,1.78,35.7,1.615,61.9,3.1,5.2,11.84,1.5,-2.0,-8.67,12.67,6,4,7,1.07,6.4,2.63,11.87,-1.03,4.69,5.89,91,1.2,5,11.37,17.2,0,2,2,3.5,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,tot_env<=0,3,280,200,1.4,184,96,65.7,17.81,6.36,1,4.27,17.29,12.1,51,19,70,10.12,16.19,109,51,160,,,42.1,,156,-12.0,3.85,4.3,0,1.78,28.0,1.618,61.8,3.9,5.1,11.53,1.5,-3.0,-8.25,8.52,7,3,6,1.16,2.6,13.02,12.63,0.34,2.72,17.29,70,14.57,9,12.42,18.56,0,2,2,13.15,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,5.5,5.5,-,-,zebra,dif 0~1,2,345,344,1.0,226,119,65.5,17.69,5.13,1,1.27,1.88,1.6,54,31,85,3.2,6.5,131,72,203,,,37.9,,247,-8.0,3.29,3.2,0,1.77,34.5,1.603,62.4,3.1,5.5,8.31,2.1,-2.0,-4.69,11.03,6,4,5,1.23,7.76,0.61,12.77,-0.89,6.19,1.88,85,-4.31,7,12.27,17.33,0,2,2,0.78,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif<=0,5,860,508,1.69,535,325,62.2,17.55,2.04,1,0.0,1.1,2.34,131,82,213,0.27,1.33,306,194,500,,,76.9,,317,-20.6,0.49,3.4,0,1.76,86.0,1.649,60.6,1.6,5.8,18.33,1.0,-5.0,-12.94,15.34,6,4,10,0.6,2.6,1.1,11.2,-2.68,2.35,1.1,213,-1.25,6,11.27,14.24,0,2,2,3.53,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif<=0,6,863,508,1.7,537,326,62.2,17.51,2.03,1,0.0,1.1,2.34,131,82,213,0.36,1.81,307,194,501,,,77.0,,317,-21.6,0.48,3.4,0,1.75,86.3,1.649,60.7,1.6,5.8,18.33,1.0,-6.0,-12.94,15.34,6,4,10,0.6,2.58,1.1,11.19,-2.69,2.33,1.1,213,-1.24,4,11.26,14.23,0,2,2,3.53,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,3.5,6.5,-,-,zebra,dif<=0,4,846,507,1.67,525,321,62.1,17.28,2.04,1,0.26,1.02,2.14,128,81,209,0.14,0.69,300,192,492,,,78.1,,317,-18.33,0.46,3.4,0,1.73,84.6,1.652,60.5,1.5,5.9,19.19,0.9,-4.0,-13.44,16.34,6,4,10,0.6,2.8,0.76,11.2,-2.68,2.38,1.02,209,-1.35,5,11.27,14.25,0,2,2,2.39,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif<=0,7,865,508,1.7,538,327,62.2,16.88,1.95,1,0.0,1.1,2.34,131,82,213,0.36,1.81,307,194,501,,,79.9,,317,-22.6,0.41,3.4,0,1.69,86.5,1.648,60.7,1.5,5.8,18.33,0.9,-7.0,-12.94,15.34,6,4,10,0.57,2.45,1.1,11.11,-2.77,2.23,1.1,213,-1.13,2,11.19,14.15,0,2,2,3.53,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,4.5,5.5,-,-,zebra,tot_env<=1,3,358,263,1.36,232,126,64.8,16.83,4.7,1,3.26,5.89,5.36,60,31,91,4.4,9.1,134,73,207,,,48.4,,197,-10.0,2.52,3.6,0,1.68,35.8,1.615,61.9,2.9,5.2,11.84,1.4,-2.0,-8.67,11.67,6,4,7,1.01,5.92,2.63,11.57,-1.32,4.3,5.89,91,1.59,6,11.08,16.9,0,2,2,3.5,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,4.5,6.5,-,-,zebra,dif 0~1,4,1056,587,1.8,657,399,62.2,16.1,1.52,0,0.21,-2.41,-6.33,157,106,263,-2.55,-15.83,371,249,620,,,82.8,,352,-17.98,0.27,2.5,0,1.61,105.6,1.638,61.0,1.2,5.9,31.06,0.5,-3.0,-17.19,29.34,5,5,8,0.49,4.02,-2.62,11.18,-3.2,2.83,-2.41,263,-5.24,5,11.17,13.73,0,2,1,-10.4,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,tot_env<=0,4,288,200,1.44,188,100,65.3,15.91,5.52,1,3.45,16.17,11.64,52,20,72,9.56,15.77,112,53,165,,,50.5,,156,-15.0,2.86,4.5,0,1.59,28.8,1.615,61.9,3.4,5.1,12.75,1.2,-4.0,-8.25,7.52,8,2,6,0.99,1.46,12.72,11.79,-0.5,1.98,16.17,72,14.19,7,11.59,17.73,0,2,2,13.23,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,tot_env<=0,5,291,200,1.46,190,101,65.3,15.87,5.45,1,3.45,16.17,11.64,52,20,72,9.79,16.25,113,53,166,,,50.7,,156,-16.0,2.82,4.5,0,1.59,29.1,1.614,62.0,3.3,5.0,13.75,1.2,-5.0,-8.25,7.52,8,2,6,0.98,1.41,12.72,11.72,-0.57,1.93,16.17,72,14.24,5,11.52,17.66,0,2,2,13.23,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,tot_env<=0,6,293,200,1.47,191,102,65.2,15.24,5.2,1,3.45,16.17,11.64,52,20,72,9.79,16.25,113,53,166,,,52.8,,156,-17.0,2.57,4.4,0,1.52,29.3,1.612,62.0,3.2,5.0,14.75,1.0,-6.0,-8.25,7.52,7,3,7,0.92,1.06,12.72,11.47,-0.82,1.63,16.17,72,14.54,3,11.26,17.4,0,2,2,13.23,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,3.5,5.5,-,-,zebra,tot_env<=1,4,397,263,1.51,255,142,64.2,13.76,3.47,1,2.22,3.65,3.72,66,36,102,3.0,6.83,146,82,228,,,59.2,,197,-12.38,1.46,3.3,0,1.38,39.7,1.61,62.1,2.1,5.1,13.53,1.0,-3.0,-11.02,14.63,6,4,9,0.73,4.7,1.43,10.34,-2.55,3.4,3.65,102,0.24,5,9.85,15.67,0,2,2,2.14,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif 0~1,4,1127,589,1.91,702,425,62.3,13.46,1.19,0,-0.02,-2.96,-8.28,167,113,280,-2.74,-18.06,396,264,660,,,101.8,,352,-21.05,-0.02,2.4,1,1.35,112.7,1.631,61.3,1.0,5.8,32.99,0.4,-4.0,-17.85,34.52,5,5,9,0.39,3.7,-2.94,10.86,-3.53,2.57,-2.96,280,-5.52,3,10.85,13.4,0,2,1,-12.49,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,tot_env 0~3,2,524,355,1.48,337,187,64.3,13.37,2.55,1,2.6,3.07,3.9,82,45,127,1.02,3.07,190,110,300,,,64.1,,245,-13.38,0.94,2.7,0,1.34,52.4,1.595,62.7,1.6,5.2,22.21,0.6,-2.0,-16.86,22.1,6,4,6,0.65,3.68,0.47,10.3,-3.47,2.39,3.07,127,0.69,4,9.84,14.75,0,2,2,0.86,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,tot_env<=1,3,396,263,1.51,254,142,64.1,13.22,3.34,1,2.22,3.65,3.72,66,36,102,3.0,6.83,146,82,228,,,61.6,,197,-12.38,1.32,3.3,0,1.32,39.6,1.61,62.1,2.0,5.1,13.53,1.0,-3.0,-11.02,14.09,6,4,9,0.7,4.5,1.43,10.21,-2.68,3.23,3.65,102,0.42,4,9.72,15.54,0,2,2,2.14,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,3.5,6.5,-,-,zebra,dif 0~1,5,1126,589,1.91,701,425,62.3,12.98,1.15,0,-0.08,-3.15,-8.8,166,113,279,-2.9,-19.08,394,264,658,,,105.5,,352,-21.05,-0.07,2.4,1,1.3,112.6,1.631,61.3,0.9,5.8,34.01,0.4,-4.0,-18.35,35.06,5,5,9,0.37,3.7,-3.07,10.82,-3.57,2.57,-3.15,279,-5.73,4,10.81,13.36,0,2,1,-13.01,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,4.5,5.5,-,-,zebra,tot_env 0~3,2,522,353,1.48,335,187,64.2,12.96,2.48,1,2.6,3.07,3.9,82,45,127,1.02,3.07,190,110,300,,,66.1,,244,-13.38,0.86,2.7,0,1.3,52.2,1.597,62.6,1.5,5.2,22.21,0.6,-2.0,-16.86,21.69,6,4,6,0.63,3.58,0.47,10.21,-3.54,2.29,3.07,127,0.78,1,9.74,14.69,0,2,2,0.86,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,5.5,5.5,-,-,zebra,tot_env<=1,1,263,263,1.0,170,93,64.6,12.73,4.84,1,2.73,9.07,6.17,46,22,68,6.35,9.78,101,53,154,,,55.5,,197,-7.0,2.25,4.2,0,1.27,26.3,1.622,61.7,3.0,5.5,7.73,1.6,-1.0,-5.89,4.92,7,3,5,1.01,3.96,6.34,11.71,-1.18,3.36,9.07,68,5.71,1,11.22,17.04,0,2,2,6.15,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif 0~1,5,1148,589,1.95,716,432,62.4,12.64,1.1,0,-0.44,-3.18,-9.17,172,116,288,-2.76,-18.52,404,268,672,,,108.4,,352,-22.0,-0.09,2.4,1,1.26,114.8,1.628,61.4,0.9,5.7,33.09,0.4,-5.0,-17.85,34.06,5,5,10,0.36,3.45,-2.74,10.77,-3.62,2.54,-3.18,288,-5.72,6,10.76,13.3,0,2,1,-11.95,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,3.5,6.5,-,-,zebra,dif 0~1,4,1125,589,1.91,700,425,62.2,12.44,1.11,0,-0.08,-3.15,-8.8,166,113,279,-2.9,-19.08,394,264,658,,,110.1,,352,-21.05,-0.11,2.4,1,1.24,112.5,1.631,61.3,0.9,5.8,34.01,0.4,-4.0,-18.35,34.52,5,5,9,0.36,3.63,-3.07,10.77,-3.61,2.51,-3.15,279,-5.66,1,10.76,13.31,0,2,1,-13.01,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,tot_env<=1,1,263,263,1.0,170,93,64.6,12.29,4.67,1,2.73,9.07,6.17,46,22,68,6.23,9.6,101,53,154,,,57.5,,197,-7.0,2.07,4.2,0,1.23,26.3,1.62,61.7,2.9,5.5,7.99,1.5,-1.0,-6.15,4.77,7,3,5,0.98,3.7,6.34,11.54,-1.35,3.14,9.07,68,5.94,5,11.05,16.88,0,2,2,6.15,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif 0~1,6,1157,589,1.96,722,435,62.4,12.21,1.06,0,-0.38,-2.73,-7.94,175,116,291,-2.43,-16.43,409,268,677,,,112.2,,352,-24.0,-0.13,2.3,1,1.22,115.7,1.626,61.5,0.9,5.7,31.89,0.4,-6.0,-17.85,33.06,5,5,11,0.35,3.15,-2.35,10.72,-3.66,2.33,-2.73,291,-5.06,4,10.71,13.26,0,2,1,-10.34,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,5.5,5.5,-,-,zebra,tot_env<=1,2,264,263,1.0,170,94,64.4,11.73,4.44,1,2.73,9.07,6.17,46,22,68,6.35,9.78,101,53,154,,,60.3,,197,-8.0,1.84,4.2,0,1.17,26.4,1.621,61.7,2.7,5.5,8.14,1.4,-2.0,-5.89,4.92,7,3,5,0.92,3.34,6.34,11.31,-1.58,2.84,9.07,68,6.24,7,10.82,16.65,0,2,2,6.15,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,tot_env<=1,3,876,522,1.68,536,340,61.2,11.62,1.33,0,-0.5,-1.12,-2.48,132,89,221,-1.37,-7.05,308,208,516,,,108.9,,316,-18.9,-0.12,2.5,1,1.16,87.6,1.662,60.2,1.0,6.0,28.75,0.4,-3.0,-17.78,16.46,5,5,10,0.39,2.51,-0.62,10.58,-3.39,2.15,-1.12,221,-3.27,4,10.63,13.53,0,2,1,-2.06,0,DIRECAO
