passe,janela,wr_min,wr_max,janela2,op2,wr2,conf_min,conf_max,linha_min,linha_max,odd_min,odd_max,lado,extra,teto,apostas,jogos,por_jogo,G,R,WR,unidades,ROI,vivo,queda_ponta,roi_3d,u_3d,G_3d,R_3d,ap_3d,roi_7d,u_7d,G_7d,R_7d,ap_7d,borda_chip,fragil,conc_par,conc_alvo,n_par,dano_par,roi_sem3_par,vol3_par,id_suspeita,u_dia,ap_dia,odd_media,break_even,margem_be,linha_media,DD,lucro_dd,pior_jogo,pior_dia,melhor_dia,dias_pos,dias_neg,max_reds,z_jogo,roi_m1,roi_m2,acima_sorte,acima_placebo,roi_treino,roi_cego,ap_cego,desvio_cego,equiv,acima_sorte_par,premio,premio_alto,sem_tot,sem_pos,ult_sem_u,robusta,selo
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif<=0,2,340,251,1.35,234,106,68.8,33.56,9.87,1,4.58,10.6,8.9,58,26,84,10.12,20.24,138,62,200,,,24.2,,190,-10.6,7.85,4.7,0,3.36,34.0,1.6,62.5,6.3,5.2,9.1,3.7,-2.0,-4.52,14.59,7,3,5,2.16,12.14,6.02,16.63,3.85,9.63,10.6,84,0.96,3,16.19,22.07,0,2,2,7.59,1,DIRECAO
P4,-,0.0,-,-,,-,0,-,3.5,5.5,-,-,zebra,dif<=0,2,337,250,1.35,231,106,68.5,32.46,9.63,1,4.85,10.6,8.9,58,26,84,9.97,19.84,137,62,199,,,25.0,,189,-10.6,7.58,4.7,0,3.25,33.7,1.602,62.4,6.1,5.2,9.1,3.6,-2.0,-5.22,14.59,7,3,5,2.09,11.92,5.75,16.38,3.61,9.31,10.6,84,1.28,1,15.95,21.83,0,2,2,7.19,1,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif<=0,3,365,251,1.45,249,116,68.2,31.61,8.66,1,2.66,9.96,8.96,62,28,90,10.1,21.61,148,66,214,,,27.1,,190,-12.27,6.62,4.7,0,3.16,36.5,1.596,62.7,5.6,5.1,10.37,3.0,-3.0,-6.96,15.71,9,1,6,1.85,9.47,7.3,15.42,2.64,8.24,9.96,90,1.72,3,14.98,20.86,0,2,2,9.93,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif 0~1,2,489,349,1.4,327,162,66.9,30.96,6.33,0,1.0,-0.23,-0.27,74,44,118,2.28,6.49,184,101,285,,,27.7,,251,-11.38,4.71,2.9,0,3.1,48.9,1.591,62.9,4.0,5.2,12.41,2.5,-2.0,-9.08,27.35,5,5,6,1.62,10.66,-1.23,14.02,0.31,8.42,-0.23,118,-8.65,4,13.54,18.53,0,2,1,-2.19,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,4.5,5.5,-,-,zebra,dif<=0,2,331,248,1.33,226,105,68.3,30.82,9.31,1,6.47,11.93,9.9,58,25,83,9.65,18.72,133,61,194,,,26.3,,189,-9.6,7.21,4.8,0,3.08,33.1,1.603,62.4,5.9,5.2,10.18,3.0,-2.0,-5.74,14.59,7,3,5,2.01,11.53,5.46,16.04,3.29,8.44,11.93,83,3.49,7,15.62,21.51,0,2,2,6.61,1,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif<=0,4,375,251,1.49,255,120,68.0,30.45,8.12,1,2.1,9.49,8.83,64,29,93,9.78,21.52,152,68,220,,,29.2,,190,-14.6,5.99,4.0,0,3.04,37.5,1.594,62.8,5.2,5.0,10.96,2.8,-4.0,-6.55,14.71,9,1,6,1.73,8.56,7.39,14.88,2.1,7.67,9.49,93,1.83,7,14.44,20.32,0,2,2,10.34,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif<=0,5,378,251,1.51,257,121,68.0,30.41,8.04,1,2.1,9.49,8.83,64,29,93,9.95,22.0,153,68,221,,,29.2,,190,-15.6,5.93,4.0,0,3.04,37.8,1.593,62.8,5.2,5.0,11.96,2.5,-5.0,-6.55,14.71,9,1,6,1.72,8.43,7.39,14.8,2.02,7.57,9.49,93,1.92,5,14.36,20.25,0,2,2,10.34,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,3.5,5.5,-,-,zebra,dif<=0,3,361,250,1.44,245,116,67.9,30.18,8.36,1,2.83,9.7,8.63,61,28,89,9.85,20.88,146,66,212,,,28.4,,189,-12.6,6.28,4.7,0,3.02,36.1,1.599,62.5,5.3,5.1,11.07,2.7,-3.0,-7.66,15.71,8,2,6,1.77,9.24,6.87,15.11,2.34,7.92,9.7,89,1.77,6,14.67,20.56,0,2,2,9.2,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,5.5,-,-,zebra,dif<=0,6,380,251,1.51,258,122,67.9,29.78,7.84,1,2.1,9.49,8.83,64,29,93,9.95,22.0,153,68,221,,,29.9,,190,-16.6,5.72,3.9,0,2.98,38.0,1.591,62.8,5.1,4.9,12.96,2.3,-6.0,-6.55,14.71,8,2,7,1.66,8.1,7.39,14.59,1.82,7.3,9.49,93,2.19,3,14.16,20.04,0,2,2,10.34,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,4.5,5.5,-,-,zebra,dif 0~1,2,486,347,1.4,324,162,66.7,29.16,6.0,0,1.0,-0.23,-0.27,74,44,118,2.14,6.09,183,101,284,,,29.4,,250,-11.38,4.36,2.9,0,2.92,48.6,1.59,62.9,3.8,5.2,12.41,2.3,-2.0,-9.08,25.95,5,5,6,1.53,10.18,-1.23,13.67,-0.02,8.0,-0.23,118,-8.23,1,13.18,18.2,0,2,1,-2.19,0,DIRECAO
