passe,janela,wr_min,wr_max,janela2,op2,wr2,conf_min,conf_max,linha_min,linha_max,odd_min,odd_max,lado,extra,teto,apostas,jogos,por_jogo,G,R,WR,unidades,ROI,vivo,queda_ponta,roi_3d,u_3d,G_3d,R_3d,ap_3d,roi_7d,u_7d,G_7d,R_7d,ap_7d,borda_chip,fragil,conc_par,conc_alvo,n_par,dano_par,roi_sem3_par,vol3_par,id_suspeita,u_dia,ap_dia,odd_media,break_even,margem_be,linha_media,DD,lucro_dd,pior_jogo,pior_dia,melhor_dia,dias_pos,dias_neg,max_reds,z_jogo,roi_m1,roi_m2,acima_sorte,acima_placebo,roi_treino,roi_cego,ap_cego,desvio_cego,equiv,acima_sorte_par,premio,premio_alto,sem_tot,sem_pos,ult_sem_u,robusta,selo
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif<=0,3,828,508,1.63,516,312,62.3,20.82,2.51,1,0.74,1.18,2.41,125,79,204,0.04,0.21,294,189,483,,,64.8,,317,-16.33,0.92,3.5,0,2.08,82.8,1.654,60.5,1.8,5.9,20.26,1.0,-3.0,-13.44,15.22,6,4,10,0.74,3.74,0.44,11.68,-2.21,2.95,1.18,204,-1.77,1,11.75,14.72,0,2,2,1.37,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif 0~1,3,1064,589,1.81,665,399,62.5,20.63,1.94,0,-0.07,-2.78,-7.33,157,107,264,-2.6,-16.27,374,251,625,,,64.6,,352,-17.98,0.7,2.4,0,2.06,106.4,1.637,61.1,1.4,5.9,32.07,0.6,-3.0,-17.79,32.74,5,5,9,0.63,4.73,-2.71,11.61,-2.78,3.49,-2.78,264,-6.27,1,11.59,14.14,0,2,1,-10.81,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif<=0,6,863,508,1.7,537,326,62.2,17.51,2.03,1,0.0,1.1,2.34,131,82,213,0.36,1.81,307,194,501,,,77.0,,317,-21.6,0.48,3.4,0,1.75,86.3,1.649,60.7,1.6,5.8,18.33,1.0,-6.0,-12.94,15.34,6,4,10,0.6,2.58,1.1,11.19,-2.69,2.33,1.1,213,-1.24,1,11.26,14.23,0,2,2,3.53,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif<=0,-,865,508,1.7,538,327,62.2,16.88,1.95,1,0.0,1.1,2.34,131,82,213,0.36,1.81,307,194,501,,,79.9,,317,-22.6,0.41,3.4,0,1.69,86.5,1.648,60.7,1.5,5.8,18.33,0.9,-7.0,-12.94,15.34,6,4,10,0.57,2.45,1.1,11.11,-2.77,2.23,1.1,213,-1.13,1,11.19,14.15,0,2,2,3.53,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif 0~1,6,1157,589,1.96,722,435,62.4,12.21,1.06,0,-0.38,-2.73,-7.94,175,116,291,-2.43,-16.43,409,268,677,,,112.2,,352,-24.0,-0.13,2.3,1,1.22,115.7,1.626,61.5,0.9,5.7,31.89,0.4,-6.0,-17.85,33.06,5,5,11,0.35,3.15,-2.35,10.72,-3.66,2.33,-2.73,291,-5.06,1,10.71,13.26,0,2,1,-10.34,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,tot_env<=1,3,876,522,1.68,536,340,61.2,11.62,1.33,0,-0.5,-1.12,-2.48,132,89,221,-1.37,-7.05,308,208,516,,,108.9,,316,-18.9,-0.12,2.5,1,1.16,87.6,1.662,60.2,1.0,6.0,28.75,0.4,-3.0,-17.78,16.46,5,5,10,0.39,2.51,-0.62,10.58,-3.39,2.15,-1.12,221,-3.27,1,10.63,13.53,0,2,1,-2.06,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif 0~1,-,1159,589,1.97,723,436,62.4,11.58,1.0,0,-0.38,-2.73,-7.94,175,116,291,-2.43,-16.43,409,268,677,,,118.3,,352,-25.0,-0.19,2.3,1,1.16,115.9,1.626,61.5,0.9,5.7,31.89,0.4,-7.0,-17.85,33.06,5,5,11,0.33,3.05,-2.35,10.67,-3.72,2.25,-2.73,291,-4.98,1,10.65,13.2,0,2,1,-10.34,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,tot_env<=0,3,716,462,1.55,434,282,60.6,7.72,1.08,0,0.71,2.7,4.86,111,69,180,-0.47,-1.95,250,168,418,,,169.7,,295,-17.38,-0.78,3.2,1,0.77,71.6,1.673,59.8,0.9,6.0,23.29,0.3,-3.0,-16.21,8.96,6,4,9,0.29,0.54,1.99,9.83,-3.64,0.53,2.7,180,2.17,1,9.77,13.28,0,2,2,5.3,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,dif 0~1,1,589,589,1.0,357,232,60.6,5.4,0.92,0,-0.76,-3.22,-4.76,86,62,148,-2.5,-8.71,205,144,349,,,125.9,,352,-9.31,-0.24,2.2,1,0.54,58.9,1.67,59.9,0.7,6.4,20.28,0.3,-1.0,-7.29,9.55,5,5,7,0.27,3.01,-2.46,10.59,-3.8,2.3,-3.22,148,-5.52,1,10.57,13.12,0,2,1,-5.54,0,DIRECAO
P4,-,0.0,-,-,,-,0,-,0.5,6.5,-,-,zebra,tot_env<=1,1,522,522,1.0,313,209,60.0,4.29,0.82,0,-2.82,-5.01,-6.51,73,57,130,-1.24,-3.85,183,128,311,,,158.5,,316,-9.31,-0.49,2.5,1,0.43,52.2,1.687,59.3,0.7,6.4,17.11,0.3,-1.0,-6.16,6.64,5,5,5,0.23,2.66,-2.19,10.07,-3.9,2.76,-5.01,130,-7.76,1,10.13,13.02,0,2,1,-4.33,0,DIRECAO
